Rank,Change,Relationship,Fandom,New Works,Total Works,Type,Race
`[80, None]`,`['New', None]`,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),1174,8657,`['M', 'M']`,White
`[81, None]`,`['-', 36]`,`['Frank Iero', 'Gerard Way']`,My Chemical Romance,1157,7823,`['M', 'M']`,White
`[82, None]`,`['New', None]`,`['Betty Cooper', 'Jughead Jones']`,Riverdale (TV 2017),1155,1155,`['F', 'M']`,White
`[83, None]`,`['New', None]`,`['Byun Baekhyun', 'Park Chanyeol']`,EXO (Band),1148,2103,`['M', 'M']`,POC
`[84, None]`,`['New', None]`,`['Fareeha "Pharah" Amari', 'Angela "Mercy" Ziegler']`,Overwatch (Video Game),1136,1387,`['F', 'F']`,Whi/POC
`[85, None]`,`['-', 48]`,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),1130,5020,Gen,White
`[86, None]`,`['-', 53]`,`['Blaine Anderson', 'Kurt Hummel']`,Glee,1125,14059,`['M', 'M']`,Whi/POC
`[87, None]`,`['New', None]`,`['Benton Fraser', 'Ray Vecchio']`,due South,1110,1520,`['M', 'M']`,White
`[88, None]`,`['New', None]`,`['James "Bucky" Barnes', 'Tony Stark']`,Marvel Cinematic Universe,1109,2510,`['M', 'M']`,White
`[89, None]`,`['-', 6]`,`['Nico di Angelo', 'Will Solace']`,Percy Jackson and the Olympians - Rick Riordan,1104,3372,`['M', 'M']`,White
`[90, None]`,`['+', 4]`,`['Kara Danvers', 'Cat Grant']`,Supergirl (TV 2015),1103,2106,`['F', 'F']`,White
`[91, None]`,`['New', None]`,`['Chirrut Îmwe', 'Baze Malbus Rogue One: A']`,Star Wars Story (2016),1101,1101,`['M', 'M']`,POC
`[92, None]`,`['New', None]`,`['Jeremy Heere', 'Michael Mell']`,Be More Chill – Iconis/Tracz,1100,1100,`['M', 'M']`,Whi/POC
`[93, None]`,`['-', 62]`,`['Rey', 'Ben Solo | Kylo Ren']`,Star Wars Episode VII: The Force Awakens (2015),1099,3181,`['F', 'M']`,White
`[94, None]`,`['-', 2]`,`['Mycroft Holmes', 'Lestrade']`,Sherlock (TV),1098,7125,`['M', 'M']`,White
`[95, None]`,`['New', None]`,`['Serena Campbell', 'Bernie Wolfe']`,Holby City,1091,1091,`['F', 'F']`,White
`[96, None]`,`['-', 23]`,`['Dean Winchester', 'Sam Winchester']`,Supernatural,1090,5249,Gen,White
`[97, None]`,`['New', None]`,`['Oswald Cobblepot', 'Edward Nygma']`,Gotham (TV),1081,1262,`['M', 'M']`,White
`[98, None]`,`['-', 31]`,`['Barry Allen', 'Leonard Snart']`,The Flash (TV 2014),1077,2538,`['M', 'M']`,Whi/POC
`[99, None]`,`['-', 48]`,`['Sans (Undertale)', 'You']`,Undertale (Video Game),1060,2701,Other,Ambig
`[100, None]`,`['-', 41]`,`['Alphys', 'Undyne (Undertale)']`,Undertale (Video Game),1041,2473,`['F', 'F']`,Ambig
