rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2023_femslash-59,AO3_2023_femslash,60,-10,Shimizu Kiyoko x Yachi Hitoka,2,slash,None,1785,Haikyuu!!,None
AO3_2023_femslash-60,AO3_2023_femslash,61,-9,Guinevere 'Gwen' Pendragon x Morgana,2,slash,None,1778,Merlin (TV),None
AO3_2023_femslash-61,AO3_2023_femslash,62,-10,Liara T'Soni x Shepard (Female) | Player Character,2,slash,None,1772,Mass Effect Trilogy,None
AO3_2023_femslash-62,AO3_2023_femslash,63,-16,Daisy Johnson | Skye x Jemma Simmons,2,slash,None,1754,Agents of S.H.I.E.L.D. (TV),None
AO3_2023_femslash-63,AO3_2023_femslash,64,-16,Annie Leonhart x Mikasa Ackerman,2,slash,None,1731,Shingeki no Kyojin | Attack on Titan,None
AO3_2023_femslash-64,AO3_2023_femslash,65,7,Charlie Magne x Vaggie,2,slash,None,1649,Hazbin Hotel (Web Series),None
AO3_2023_femslash-65,AO3_2023_femslash,66,9,Anne Boonchuy x Marcy Wu,2,slash,None,1628,Amphibia (Cartoon),None
AO3_2023_femslash-66,AO3_2023_femslash,67,-6,Tara Maclay x Willow Rosenberg,2,slash,None,1617,Buffy the Vampire Slayer (TV),None
AO3_2023_femslash-67,AO3_2023_femslash,68,-12,Helena 'H. G.' Wells x Myka Bering,2,slash,None,1592,Warehouse 13,None
AO3_2023_femslash-68,AO3_2023_femslash,69,-15,Clary Fray x Isabelle Lightwood,2,slash,None,1560,Shadowhunters (TV),None
AO3_2023_femslash-69,AO3_2023_femslash,70,21,Dina x Ellie,2,slash,None,1556,The Last of Us (Video Games),None
AO3_2023_femslash-70,AO3_2023_femslash,71,-13,Margaery Tyrell x Sansa Stark,2,slash,None,1546,Game of Thrones (TV),None
AO3_2023_femslash-71,AO3_2023_femslash,72,-2,Kathryn Janeway x Seven of Nine,2,slash,None,1544,Star Trek: Voyager,None
AO3_2023_femslash-72,AO3_2023_femslash,73,-10,Ruby x Sapphire,2,slash,None,1520,Steven Universe (Cartoon),None
AO3_2023_femslash-73,AO3_2023_femslash,74,-17,Cosima Niehaus x Delphine Cormier,2,slash,None,1509,Orphan Black (TV),None
AO3_2023_femslash-74,AO3_2023_femslash,75,new,Alicent Hightower x Rhaenyra Targaryen,2,slash,None,1506,House of the Dragon (TV),None
AO3_2023_femslash-75,AO3_2023_femslash,76,-12,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,2,slash,None,1493,Supergirl (TV 2015),None
AO3_2023_femslash-76,AO3_2023_femslash,77,8,Shelby Goodkind x Toni Shalifoe,2,slash,None,1464,The Wilds (TV 2020),None
AO3_2023_femslash-77,AO3_2023_femslash,78,-13,Dani Clayton x Jamie Taylor,2,slash,None,1461,The Haunting of Bly Manor (TV),None
AO3_2023_femslash-78,AO3_2023_femslash,79,18,Anne Boonchuy x Sasha Waybright,2,slash,None,1453,Amphibia (Cartoon),None
AO3_2023_femslash-79,AO3_2023_femslash,80,-12,Christen Press x Tobin Heath,2,slash,None,1447,Women's Association Football | Women's Soccer RPF,None
AO3_2023_femslash-80,AO3_2023_femslash,81,12,Ganyu x Keqing,2,slash,None,1432,原神 | Genshin Impact (Video Game),None
AO3_2023_femslash-81,AO3_2023_femslash,82,-6,Carol Aird x Therese Belivet,2,slash,None,1420,Carol (2015),None
AO3_2023_femslash-82,AO3_2023_femslash,83,-5,Azula x Ty Lee,2,slash,None,1419,Avatar: The Last Airbender,None
AO3_2023_femslash-83,AO3_2023_femslash,84,-11,Buffy Summers x Faith Lehane,2,slash,None,1418,Buffy the Vampire Slayer (TV),None
AO3_2023_femslash-84,AO3_2023_femslash,85,-18,Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,2,slash,None,1393,Power Rangers (2017),None
AO3_2023_femslash-85,AO3_2023_femslash,86,new,Marcy Wu x Sasha Waybright,2,slash,None,1372,Amphibia (Cartoon),None
AO3_2023_femslash-86,AO3_2023_femslash,87,-13,Anya x Raven Reyes,2,slash,None,1325,The 100 (TV),None
AO3_2023_femslash-87,AO3_2023_femslash,88,-9,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,2,slash,None,1321,Supergirl (TV 2015),None
AO3_2023_femslash-88,AO3_2023_femslash,89,-18,Erin Gilbert x Jillian Holtzmann,2,slash,None,1311,Ghostbusters (2016),None
AO3_2023_femslash-89,AO3_2023_femslash,90,new,Raelle Collar x Scylla Ramshorn,2,slash,None,1309,Motherland: Fort Salem (TV),None
AO3_2023_femslash-90,AO3_2023_femslash,91,-9,Kya II x Lin Beifong,2,slash,None,1306,Avatar: Legend of Korra,None
AO3_2023_femslash-91,AO3_2023_femslash,91,-10,Addison Montgomery x Meredith Grey,2,slash,None,1306,Grey's Anatomy,None
AO3_2023_femslash-92,AO3_2023_femslash,93,-16,Amélie Lacroix | Widowmaker x Lena Oxton | Tracer,2,slash,None,1304,Overwatch (Video Game),None
AO3_2023_femslash-93,AO3_2023_femslash,94,-8,Chloe Price x Rachel Amber,2,slash,None,1299,Life Is Strange (Video Game),None
AO3_2023_femslash-94,AO3_2023_femslash,95,-26,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,2,slash,None,1271,Supergirl (TV 2015),None
AO3_2023_femslash-95,AO3_2023_femslash,96,-13,Andromache 'Andy' of Scythia x Quỳnh/Noriko,2,slash,None,1269,The Old Guard (Movie 2020),None
AO3_2023_femslash-96,AO3_2023_femslash,97,-17,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,2,slash,None,1264,The Avengers (Marvel Movies),None
AO3_2023_femslash-97,AO3_2023_femslash,98,-15,Josie Saltzman x Penelope Park,2,slash,None,1245,Legacies (TV 2018),None
AO3_2023_femslash-98,AO3_2023_femslash,99,-10,Terezi Pyrope x Vriska Serket,2,slash,None,1222,Homestuck,None
AO3_2023_femslash-99,AO3_2023_femslash,100,-9,Marceline x Princess Bubblegum,2,slash,None,1210,Adventure Time,None
