rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2017_overall-62,AO3_2017_overall,63,-4,Dean Winchester & Sam Winchester,2,gen,None,5249,Supernatural,None
AO3_2017_overall-63,AO3_2017_overall,64,new,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,2,slash,None,5152,Bangtan Boys | BTS,None
AO3_2017_overall-64,AO3_2017_overall,65,new,Jeon Jungkook | Jungkook x Park Jimin | Jimin,2,slash,None,5077,Bangtan Boys | BTS,None
AO3_2017_overall-65,AO3_2017_overall,66,-1,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,2,gen,None,5021,Captain America (Movies),None
AO3_2017_overall-66,AO3_2017_overall,67,1,Ginny Weasley x Harry Potter,2,slash,None,4971,Harry Potter - J. K. Rowling,None
AO3_2017_overall-67,AO3_2017_overall,68,-12,John Watson x Mary Morstan,2,slash,None,4900,Sherlock (TV),None
AO3_2017_overall-68,AO3_2017_overall,69,4,Jemma Simmons x Leopold 'Leo' Fitz,2,slash,None,4863,Agents of S.H.I.E.L.D. (TV),None
AO3_2017_overall-69,AO3_2017_overall,70,7,`James Potter x Lily Potter, née Evans`,2,slash,None,4842,Harry Potter - J. K. Rowling,None
AO3_2017_overall-70,AO3_2017_overall,71,-11,Carmilla Karnstein x Laura Hollis,2,slash,None,4729,Carmilla (Web Series),None
AO3_2017_overall-71,AO3_2017_overall,72,-8,Patrick Stump x Pete Wentz,2,slash,None,4700,Fall Out Boy,None
AO3_2017_overall-72,AO3_2017_overall,73,7,Draco Malfoy x Hermione Granger,2,slash,None,4661,Harry Potter - J. K. Rowling,None
AO3_2017_overall-73,AO3_2017_overall,74,-9,Jessica Moore x Sam Winchester,2,slash,None,4491,Supernatural,None
AO3_2017_overall-74,AO3_2017_overall,75,9,Benton Fraser x Ray Kowalski,2,slash,None,4481,due South,None
AO3_2017_overall-75,AO3_2017_overall,76,-18,Dave Strider x John Egbert,2,slash,None,4463,Homestuck,None
AO3_2017_overall-76,AO3_2017_overall,77,-5,Inquisitor | Player Character x Solas,2,slash,None,4436,Dragon Age: Inquisition,None
AO3_2017_overall-77,AO3_2017_overall,78,new,Alexander Hamilton x John Laurens,2,slash,None,4409,Hamilton,None
AO3_2017_overall-78,AO3_2017_overall,79,-17,Jane Foster | Thor x Thor Odinson,2,slash,None,4350,The Avengers (Marvel Movies),None
AO3_2017_overall-79,AO3_2017_overall,80,-17,Katniss Everdeen x Peeta Mellark,2,slash,None,4326,Hunger Games Trilogy - Suzanne Collins,None
AO3_2017_overall-80,AO3_2017_overall,81,-10,Erwin Smith x Levi Ackerman,2,slash,None,4289,Shingeki no Kyojin | Attack on Titan,None
AO3_2017_overall-81,AO3_2017_overall,82,-21,Harry Styles x Niall Horan,2,slash,None,4218,One Direction (Band),None
AO3_2017_overall-82,AO3_2017_overall,83,new,Sawamura Daichi x Sugawara Koushi,2,slash,None,4164,Haikyuu!!,None
AO3_2017_overall-83,AO3_2017_overall,84,-2,Gary 'Eggsy' Unwin x Harry Hart,2,slash,None,4121,Kingsman: The Secret Service (2015),None
AO3_2017_overall-84,AO3_2017_overall,85,12,Dana Scully x Fox Mulder,2,slash,None,4097,The X-Files,None
AO3_2017_overall-85,AO3_2017_overall,86,-19,Carlos x Cecil Palmer,2,slash,None,4053,Welcome to Night Vale,None
AO3_2017_overall-86,AO3_2017_overall,87,-9,Alfred F. Jones | America x Arthur Kirkland | England,2,slash,None,4030,Hetalia: Axis Powers,None
AO3_2017_overall-87,AO3_2017_overall,88,new,Dean Winchester x Y/N | Reader,2,slash,None,4027,Supernatural,None
AO3_2017_overall-88,AO3_2017_overall,89,-13,Nanase Haruka x Tachibana Makoto,2,slash,None,3964,Free!,None
AO3_2017_overall-89,AO3_2017_overall,90,5,Uchiha Sasuke x Uzumaki Naruto,2,slash,None,3942,Naruto Naruto,None
AO3_2017_overall-90,AO3_2017_overall,91,-17,James 'Jim' Moriarty x Sebastian Moran,2,slash,None,3926,Sherlock (TV),None
AO3_2017_overall-91,AO3_2017_overall,92,-7,Peter Hale x Stiles Stilinski,2,slash,None,3900,Teen Wolf (TV),None
AO3_2017_overall-92,AO3_2017_overall,93,new,Akaashi Keiji x Bokuto Koutarou,2,slash,None,3888,Haikyuu!!,None
AO3_2017_overall-93,AO3_2017_overall,93,1,Finn x Poe Dameron,2,slash,None,3888,Star Wars Episode VII: The Force Awakens (2015),None
AO3_2017_overall-94,AO3_2017_overall,95,new,Jung Hoseok | J-Hope x Min Yoongi | Suga,2,slash,None,3887,Bangtan Boys | BTS,None
AO3_2017_overall-95,AO3_2017_overall,96,new,Otabek Altin x Yuri Plisetsky,2,slash,None,3852,Yuri!!! on Ice (Anime),None
AO3_2017_overall-96,AO3_2017_overall,97,-27,Niall Horan x Zayn Malik,2,slash,None,3795,One Direction (Band),None
AO3_2017_overall-97,AO3_2017_overall,98,new,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,2,slash,None,3793,Supergirl (TV 2015),None
AO3_2017_overall-98,AO3_2017_overall,99,new,Katsuki Yuuri & Victor Nikiforov,2,gen,None,3782,Yuri!!! on Ice (Anime),None
AO3_2017_overall-99,AO3_2017_overall,100,new,Peter Parker | Spiderman x Wade Wilson | Deadpool,2,slash,None,3770,Spider-Man - All Media Types,None
