Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
76,New,Clay | Dream & Thomas Michael Simons | TommyInnit,Youtube,2371,2371,Youtube - Clay | Dream & Thomas Michael Simons | TommyInnit
77,New,Phil Watson | Philza & Thomas Michael Simons | TommyInnit,Youtube,2341,2341,Youtube - Phil Watson | Philza & Thomas Michael Simons | TommyInnit
78,New,Harry Styles x Louis Tomlinson,One Direction,35365,2257,One Direction - Harry Styles x Louis Tomlinson
79,-33,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,14892,2249,Bangtan Boys / BTS - Jung Hoseok | J-Hope x Min Yoongi | Suga
80,-59,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,19609,2245,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
80,New,Hinata Hajime x Komaeda Nagito,Danganronpa,5037,2245,Danganronpa - Hinata Hajime x Komaeda Nagito
82,3,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,5328,2242,Stray Kids - Han Jisung | Han x Lee Minho | Lee Know
83,-58,Wang Yi Bo x Xiao Zhan | Sean Xiao,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,5659,2223,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Wang Yi Bo x Xiao Zhan | Sean Xiao
84,-6,Annabeth Chase x Percy Jackson,Percy Jackson,8205,2217,Percy Jackson - Annabeth Chase x Percy Jackson
85,New,Carlos Reyes x TK Strand,9-1-1,3154,2213,9-1-1 - Carlos Reyes x TK Strand
86,New,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,8065,2169,Attack on Titan | 進撃の巨人 - Erwin Smith x Levi Ackerman
87,New,Julie Molina x Luke Patterson,Julie and The Phantoms,2150,2150,Julie and The Phantoms - Julie Molina x Luke Patterson
87,New,Alexis 'Alex' Maldonado | Quackity x Karl Jacobs x Nicholas Armstrong | Sapnap,Youtube,2150,2150,Youtube - Alexis 'Alex' Maldonado | Quackity x Karl Jacobs x Nicholas Armstrong | Sapnap
89,New,Bakugou Katsuki x Y/N | Reader,My Hero Academia | 僕のヒーローアカデミア,4298,2138,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Y/N | Reader
90,-32,Midoriya Izuku | Deku x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,6104,2136,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku x Uraraka Ochako | Uravity
91,New,Darryl Noveschosch | BadBoyHalo x Zak Ahmed | Skeppy,Youtube,2135,2135,Youtube - Darryl Noveschosch | BadBoyHalo x Zak Ahmed | Skeppy
92,-38,Jeon Jungkook | Jungkook x Min Yoongi | Suga,Bangtan Boys / BTS,11576,2106,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Min Yoongi | Suga
93,New,Alex Mercer x Willie,Julie and The Phantoms,2033,2033,Julie and The Phantoms - Alex Mercer x Willie
94,-3,Andrew Minyard x Neil Josten,All For The Game,6690,2021,All For The Game - Andrew Minyard x Neil Josten
95,New,Oma Kokichi x Saihara Shuichi,Danganronpa,4991,1986,Danganronpa - Oma Kokichi x Saihara Shuichi
96,New,Alexander | Technoblade & Clay | Dream,Youtube,1943,1943,Youtube - Alexander | Technoblade & Clay | Dream
97,-4,Midoriya Izuku | Deku & Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,4790,1926,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku & Todoroki Shouto | Shoto
98,New,Midoriya Izuku | Deku & Yagi Toshinori | All Might,My Hero Academia | 僕のヒーローアカデミア,4409,1916,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku & Yagi Toshinori | All Might
99,-5,Anakin Skywalker | Darth Vader x Padmé Amidala,Star Wars Universe,5999,1908,Star Wars Universe - Anakin Skywalker | Darth Vader x Padmé Amidala
100,New,Wen Kexing x Zhou Zishu,Faraway Wanderers / Word of Honor | 天涯客 / 山河令,1901,1901,Faraway Wanderers / Word of Honor | 天涯客 / 山河令 - Wen Kexing x Zhou Zishu
