rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2020_data-16,AO3_2020_data,17,1,Jeon Jungkook | Jungkook x Park Jimin | Jimin,2,slash,4596,17867,Bangtan Boys | BTS,None
AO3_2020_data-17,AO3_2020_data,18,new,Eddie Diaz x Evan 'Buck' Buckley,2,slash,3716,3716,9-1-1 (TV),None
AO3_2020_data-18,AO3_2020_data,19,5,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,2,slash,3614,13048,Supergirl (TV 2015),None
AO3_2020_data-19,AO3_2020_data,20,-16,Alec Lightwood x Magnus Bane,2,slash,3599,24787,Shadowhunters (TV),None
AO3_2020_data-20,AO3_2020_data,21,2,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,2,slash,3569,17384,Marvel Cinematic Universe,None
AO3_2020_data-21,AO3_2020_data,22,14,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,2,slash,3565,7325,Boku no Hero Academia | My Hero Academia,None
AO3_2020_data-22,AO3_2020_data,23,new,Adora x Catra,2,slash,3538,4919,She-Ra and the Princesses of Power (2018),None
AO3_2020_data-23,AO3_2020_data,24,15,Dazai Osamu x Nakahara Chuuya,2,slash,3512,8768,文豪ストレイドッグス | Bungou Stray Dogs,None
AO3_2020_data-24,AO3_2020_data,25,new,Wang Yi Bo x Xiao Zhan | Sean Xiao,2,slash,3446,3446,陈情令 | The Untamed (TV) RPF,None
AO3_2020_data-25,AO3_2020_data,26,-12,Derek Hale x Stiles Stilinski,2,slash,3249,59286,Teen Wolf (TV),None
AO3_2020_data-26,AO3_2020_data,27,10,Arthur Pendragon x Merlin,2,slash,3157,18688,Merlin (TV),None
AO3_2020_data-27,AO3_2020_data,28,-11,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,2,slash,3155,16682,Bangtan Boys | BTS,None
AO3_2020_data-28,AO3_2020_data,29,66,Ayanga x Zhèng Yúnlóng,2,slash,3111,5285,声入人心 | Super-Vocal (TV),None
AO3_2020_data-29,AO3_2020_data,30,-21,Min Yoongi | Suga x Park Jimin | Jimin,2,slash,3026,19851,Bangtan Boys | BTS,None
AO3_2020_data-30,AO3_2020_data,31,-3,Remus Lupin x Sirius Black,2,slash,2958,17686,Harry Potter - J. K. Rowling,None
AO3_2020_data-31,AO3_2020_data,32,new,Jonathan 'Jon' Sims | The Archivist x Martin Blackwood,2,slash,2917,3367,The Magnus Archives (Podcast),None
AO3_2020_data-32,AO3_2020_data,33,60,Bakugou Katsuki & Midoriya Izuku | Deku,2,gen,2672,5023,Boku no Hero Academia | My Hero Academia,None
AO3_2020_data-33,AO3_2020_data,34,12,Peter Parker | Spiderman x Tony Stark | Iron Man,2,slash,2623,6160,Marvel Cinematic Universe,None
AO3_2020_data-34,AO3_2020_data,35,new,Hinata Shouyou x Kageyama Tobio,2,slash,2601,10485,Haikyuu!!,None
AO3_2020_data-35,AO3_2020_data,36,22,Draco Malfoy x Hermione Granger,2,slash,2583,10171,Harry Potter - J. K. Rowling,None
AO3_2020_data-36,AO3_2020_data,37,-8,Kim Taehyung | V x Park Jimin | Jimin,2,slash,2507,9891,Bangtan Boys | BTS,None
AO3_2020_data-37,AO3_2020_data,38,-37,Keith x Lance,2,slash,2480,30317,Voltron: Legendary Defender,None
AO3_2020_data-38,AO3_2020_data,39,20,Billy Hargrove x Steve Harrington,2,slash,2438,5338,Stranger Things (TV 2016),None
AO3_2020_data-39,AO3_2020_data,40,new,Akaashi Keiji x Bokuto Koutarou,2,slash,2387,7629,Haikyuu!!,None
AO3_2020_data-40,AO3_2020_data,41,new,David Rose x Patrick Brewer,2,slash,2363,3150,Schitt's Creek,None
AO3_2020_data-41,AO3_2020_data,42,5,Lee Donghyuck | Haechan x Mark Lee | Mark,2,slash,2331,5854,NCT (Band),None
