Rank,Change,Relationship,Fandom,Total Works,New Works
22,14,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,7325,3565
23,New,Adora x Catra,She-Ra and the Princesses of Power,4919,3538
24,15,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,8768,3512
25,New,Wang Yi Bo x Xiao Zhan | Sean Xiao,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,3446,3446
26,-12,Derek Hale x Stiles Stilinski,Teen Wolf,59286,3249
27,10,Arthur Pendragon x Merlin,Merlin,18688,3157
28,-11,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,16682,3155
29,66,Ayanga x Zhèng Yúnlóng,Super-Vocal | 声入人心,5285,3111
30,-21,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,19851,3026
31,-3,Remus Lupin x Sirius Black,Harry Potter Universe,17686,2958
32,New,Jonathan 'Jon' Sims | The Archivist x Martin Blackwood,The Magnus Archives,3367,2917
33,60,Bakugou Katsuki & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,5023,2672
34,12,Peter Parker | Spiderman x Tony Stark | Iron Man,Marvel,6160,2623
35,New,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,10485,2601
36,22,Draco Malfoy x Hermione Granger,Harry Potter Universe,10171,2583
37,-8,Kim Taehyung | V x Park Jimin | Jimin,Bangtan Boys / BTS,9891,2507
38,-37,Keith x Lance,Voltron,30317,2480
39,20,Billy Hargrove x Steve Harrington,Stranger Things,5338,2438
40,New,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,7629,2387
41,New,David Rose x Patrick Brewer,Schitt's Creek,3150,2363
42,5,Lee Donghyuck | Haechan x Mark Lee | Mark,NCT,5854,2331
43,8,Ben Solo | Kylo Ren & Rey,Star Wars Universe,6506,2304
44,New,Takami Keigo | Hawks x Todoroki Touya | Dabi,My Hero Academia | 僕のヒーローアカデミア,2930,2294
45,New,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,11155,2272
46,-24,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,12668,2259
47,New,Felix Hugo Fraldarius x Sylvain Jose Gautier,Fire Emblem | ファイアーエムブレム,2218,2218
48,28,Brienne of Tarth x Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,7063,2186
49,19,Bakugou Katsuki x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,4991,2169
50,New,Ben Hanscom x Beverly Marsh,IT,3116,2163
51,3,Hermione Granger x Ron Weasley,Harry Potter Universe,11699,2128
52,-31,John Watson x Sherlock Holmes,Sherlock,61544,2121
53,-5,"James Potter x Lily Potter, née Evans",Harry Potter Universe,10125,2110
54,-28,Jeon Jungkook | Jungkook x Min Yoongi | Suga,Bangtan Boys / BTS,9498,2074
55,New,Jiang Cheng | Jiang Wanyin x Lan Huan | Lan Xichen,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,2494,2073
56,-25,Hannibal Lecter x Will Graham,Hannibal,17257,2064
57,New,Kakyoin Noriaki x Kujo 'Jojo' Jotaro,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,3580,1964
58,New,Midoriya Izuku | Deku x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,3983,1896
59,-46,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,24332,1843
60,15,Ginny Weasley x Harry Potter,Harry Potter Universe,9269,1838
61,New,Finn x Poe Dameron,Star Wars Universe,7238,1806
62,New,Kaminari Denki | Chargebolt x Shinsou Hitoshi,My Hero Academia | 僕のヒーローアカデミア,2732,1791
63,-38,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,17316,1782
64,-54,Keith x Shiro,Voltron,13925,1764
65,31,Roman 'Princey' Sanders | Creativity x Virgil Sanders | Anxiety,Sanders Sides,3917,1720
66,New,Simon Snow x Tyrannus Basilton 'Baz' Grimm-Pitch,Carry On,4803,1707
67,-33,Kim Taehyung | V x Min Yoongi | Suga,Bangtan Boys / BTS,7176,1651
67,New,Byleth Eisner | Player Character x Dimitri Alexandre Blaiddyd,Fire Emblem | ファイアーエムブレム,1651,1651
69,New,Michelle 'MJ' Jones x Peter Parker | Spiderman,Marvel,3692,1639
70,New,Alex Manes x Michael Guerin,Roswell New Mexico,2746,1635
71,28,Uchiha Sasuke x Uzumaki Naruto,Naruto,7705,1625
72,New,Bakugou Katsuki x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,3776,1617
73,-30,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man,Marvel,7456,1559
74,-39,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader,Marvel,7724,1544
75,9,Connor (RK900) x Gavin Reed,Detroit: Become Human,3921,1534
76,New,Harry Potter x Tom Riddle | Voldemort,Harry Potter Universe,6308,1511
77,New,Jeon Jungkook | Jungkook x Kim Namjoon | Rap Monster/RM,Bangtan Boys / BTS,3911,1505
78,New,Annabeth Chase x Percy Jackson,Percy Jackson,6017,1501
79,New,Byleth Eisner | Player Character x Edelgard von Hresvelg,Fire Emblem | ファイアーエムブレム,1495,1495
80,New,Dean Winchester & Sam Winchester,Supernatural,8791,1493
81,New,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,2200,1487
82,-37,Stephen Strange | Doctor Strange x Tony Stark | Iron Man,Marvel,4912,1460
83,New,Akechi Goro x Amamiya Ren | Joker | Player Character,Persona,3285,1447
84,New,Kozume Kenma x Kuroo Tetsurou,Haikyuu!! | ハイキュー!!,4932,1444
85,New,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,3091,1440
86,-33,Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol,EXO,6629,1431
87,-45,Dean Winchester x Sam Winchester,Supernatural,27696,1416
88,New,Bruno Buccellati x Leone Abbacchio,JoJo's Bizarre Adventure | ジョジョの奇妙な冒険,2237,1415
89,New,Chloe Decker x Lucifer Morningstar,Lucifer,4165,1413
90,New,Eddie Kaspbrak & Richie Tozier,IT,2268,1396
91,New,Andrew Minyard x Neil Josten,All For The Game,4681,1392
92,New,Blake Belladonna x Xiao Long Yang,RWBY,4358,1390
93,New,Midoriya Izuku | Deku & Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,2887,1378
94,New,Anakin Skywalker | Darth Vader x Padmé Amidala,Star Wars Universe,4112,1369
95,-8,Kim Namjoon | Rap Monster/RM x Park Jimin | Jimin,Bangtan Boys / BTS,4728,1365
95,New,Sokka x Zuko,Avatar: The last Airbender Universe,1828,1365
97,New,Lee Jeno | Jeno x Na Jaemin | Jaemin,NCT,3266,1360
98,New,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,14736,1333
99,-72,Loki Laufeyson/Odinson x Thor Odinson,Marvel,12863,1330
100,New,Logan Sanders | Logic x Patton Sanders | Morality,Sanders Sides,3132,1327
