Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
50,25,Alicent Hightower x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2364,,A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower x Rhaenyra Targaryen
51,-6,Beauregard Lionett x Yasha Nydoorin,Critical Role,2346,,Critical Role - Beauregard Lionett x Yasha Nydoorin
52,-8,Lapis Lazuli x Peridot,Steven Universe,2323,,Steven Universe - Lapis Lazuli x Peridot
53,6,Kate Bishop | Hawkeye x Yelena Belova | Black Widow/White Widow,Marvel,2282,,Marvel - Kate Bishop | Hawkeye x Yelena Belova | Black Widow/White Widow
54,-7,Angie Martinelli x Peggy Carter,Marvel,2203,,Marvel - Angie Martinelli x Peggy Carter
55,0,"Bellatrix Lestrange, née Black x Hermione Granger",Harry Potter Universe,2163,,"Harry Potter Universe - Bellatrix Lestrange, née Black x Hermione Granger"
56,-2,Jane Rizzoli x Maura Isles,Rizzoli & Isles,2131,,Rizzoli & Isles - Jane Rizzoli x Maura Isles
57,-1,Anne Boonchuy x Marcy Wu x Sasha Waybright,Amphibia,2096,,Amphibia - Anne Boonchuy x Marcy Wu x Sasha Waybright
57,-6,Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,2096,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance
59,-7,Atsuko 'Akko' Kagari x Diana Cavendish,Little Witch Academia | リトルウィッチアカデミア,1958,,Little Witch Academia | リトルウィッチアカデミア - Atsuko 'Akko' Kagari x Diana Cavendish
60,-7,Jane Hopper | Eleven x Maxine 'Max' Mayfield,Stranger Things,1955,,Stranger Things - Jane Hopper | Eleven x Maxine 'Max' Mayfield
61,0,Guinevere 'Gwen' Pendragon x Morgana,Merlin,1936,,Merlin - Guinevere 'Gwen' Pendragon x Morgana
62,0,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,1857,,Mass Effect - Liara T'Soni x Shepard (Female) | Player Character
63,New,Toga Himiko x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,1835,,My Hero Academia | 僕のヒーローアカデミア - Toga Himiko x Uraraka Ochako | Uravity
64,-6,Allison Argent x Lydia Martin,Teen Wolf,1811,,Teen Wolf - Allison Argent x Lydia Martin
65,-5,Shimizu Kiyoko x Yachi Hitoka,Haikyuu!! | ハイキュー!!,1795,,Haikyuu!! | ハイキュー!! - Shimizu Kiyoko x Yachi Hitoka
66,4,Dina x Ellie,The Last of Us,1786,,The Last of Us - Dina x Ellie
67,-4,Daisy Johnson | Skye x Jemma Simmons,Marvel,1769,,Marvel - Daisy Johnson | Skye x Jemma Simmons
68,-4,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,1755,,Attack on Titan | 進撃の巨人 - Annie Leonhart x Mikasa Ackerman
69,-3,Anne Boonchuy x Marcy Wu,Amphibia,1738,,Amphibia - Anne Boonchuy x Marcy Wu
70,-3,Tara Maclay x Willow Rosenberg,Buffy Universe,1692,,Buffy Universe - Tara Maclay x Willow Rosenberg
71,New,Imogen Temult x Laudna,Critical Role,1677,,Critical Role - Imogen Temult x Laudna
72,New,Kugisaki Nobara x Zenin Maki,Jujutsu Kaisen | 呪術廻戦,1662,,Jujutsu Kaisen | 呪術廻戦 - Kugisaki Nobara x Zenin Maki
73,-5,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1622,,Warehouse 13 - Helena 'H. G.' Wells x Myka Bering
74,9,Azula x Ty Lee,Avatar: The last Airbender Universe,1610,,Avatar: The last Airbender Universe - Azula x Ty Lee
75,New,Azusawa Kohane x Shiraishi An,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,1594,,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド - Azusawa Kohane x Shiraishi An
76,5,Ganyu x Keqing,Genshin Impact | 原神,1572,,Genshin Impact | 原神 - Ganyu x Keqing
77,14,Addison Montgomery x Meredith Grey,Grey's Anatomy Universe,1565,,Grey's Anatomy Universe - Addison Montgomery x Meredith Grey
78,1,Anne Boonchuy x Sasha Waybright,Amphibia,1560,,Amphibia - Anne Boonchuy x Sasha Waybright
79,-10,Clary Fray x Isabelle Lightwood,Mortal Instruments,1556,,Mortal Instruments - Clary Fray x Isabelle Lightwood
80,-9,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,1554,,A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell x Sansa Stark
81,-5,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,DC,1543,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian
82,-5,Shelby Goodkind x Toni Shalifoe,The Wilds,1533,,The Wilds - Shelby Goodkind x Toni Shalifoe
83,1,Buffy Summers x Faith Lehane,Buffy Universe,1525,,Buffy Universe - Buffy Summers x Faith Lehane
84,-11,Ruby x Sapphire,Steven Universe,1515,,Steven Universe - Ruby x Sapphire
85,-13,Kathryn Janeway x Seven of Nine,Star Trek,1500,,Star Trek - Kathryn Janeway x Seven of Nine
86,-8,Dani Clayton x Jamie Taylor,The Haunting of Bly Manor,1498,,The Haunting of Bly Manor - Dani Clayton x Jamie Taylor
87,13,Marceline x Princess Bubblegum,Adventure Time,1495,,Adventure Time - Marceline x Princess Bubblegum
88,-6,Carol Aird x Therese Belivet,Carol,1486,,Carol - Carol Aird x Therese Belivet
89,-15,Cosima Niehaus x Delphine Cormier,Orphan Black,1471,,Orphan Black - Cosima Niehaus x Delphine Cormier
90,-4,Marcy Wu x Sasha Waybright,Amphibia,1454,,Amphibia - Marcy Wu x Sasha Waybright
91,New,"Lily Potter, née Evans x Pandora Lovegood",Harry Potter Universe,1421,,"Harry Potter Universe - Lily Potter, née Evans x Pandora Lovegood"
92,-1,Kya II x Lin Beifong,Avatar: The last Airbender Universe,1405,,Avatar: The last Airbender Universe - Kya II x Lin Beifong
93,-13,Christen Press x Tobin Heath,Women's Soccer,1394,,Women's Soccer - Christen Press x Tobin Heath
94,-9,Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,Power Rangers,1393,,Power Rangers - Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger
95,New,Kim Minjeong | Winter x Yu Jimin | Karina,Aespa / æspa,1388,,Aespa / æspa - Kim Minjeong | Winter x Yu Jimin | Karina
96,-2,Chloe Price x Rachel Amber,Life Is Strange,1384,,Life Is Strange - Chloe Price x Rachel Amber
97,New,"Fleur Isabelle Weasley, née Delacour x Hermione Granger",Harry Potter Universe,1370,,"Harry Potter Universe - Fleur Isabelle Weasley, née Delacour x Hermione Granger"
97,New,Kate Whistler x Lucy Tara,NCIS,1370,,NCIS - Kate Whistler x Lucy Tara
99,-9,Raelle Collar x Scylla Ramshorn,Motherland,1360,,Motherland - Raelle Collar x Scylla Ramshorn
100,-12,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,DC,1350,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze
