Rank,Change,Relationship,Fandom,Total Works,New Works
47,New,Fushiguro Megumi x Itadori Yuuji,Jujutsu Kaisen | 呪術廻戦,6658,
48,11,Simon 'Ghost' Riley x Y/N | Reader,Call of Duty,4106,
49,New,Alastor x Vox,Hazbin Hotel Universe,2274,
50,-9,Kamishiro Rui x Tenma Tsukasa,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,5260,
51,New,Nico di Angelo x Will Solace,Percy Jackson,12388,
52,New,Astarion Ancunín x Y/N | Reader,Baldur's Gate,2184,
53,New,Hermione Granger x Ron Weasley,Harry Potter Universe,20899,
54,New,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,28996,
55,-40,Nancy Wheeler x Robin Buckley,Stranger Things,8306,
56,New,Astarion Ancunín x The Dark Urge | Player Character,Baldur's Gate,2095,
57,-34,Tartaglia | Childe x Zhongli,Genshin Impact | 原神,14702,
58,8,Regulus Black & Sirius Black,Harry Potter Universe,5855,
59,-3,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,35112,
59,-1,Kim Dokja x Yoo Joonghyuk,Omniscient Reader | 전지적 독자 시점,6370,
61,New,Kim Hongjoong | Hongjoong x Park Seonghwa | Seonghwa,ATEEZ,7146,
62,New,Charles Leclerc x Max Verstappen,Formula 1,3636,
63,New,Harry Potter x Tom Riddle | Voldemort,Harry Potter Universe,12783,
64,New,Jason Peter Todd | Robin/Red Hood & Nicholas 'Dick' Grayson | Robin/Nightwing,DC,7765,
65,New,Ginny Weasley x Harry Potter,Harry Potter Universe,17445,
66,26,Charles | Grian x Ryan | GoodTimesWithScar,Youtube,4099,
67,New,Valentino x Vox,Hazbin Hotel Universe,2329,
68,19,Uchiha Sasuke x Uzumaki Naruto,Naruto,14840,
69,New,Gojo Satoru x Itadori Yuuji,Jujutsu Kaisen | 呪術廻戦,4236,
70,-33,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,12989,
71,-44,Donatello & Leonardo & Michelangelo & Raphael,Teenage Mutant Ninja Turtles,5098,
72,-9,James T. Kirk x Spock,Star Trek,18008,
73,New,Link x Zelda,The Legend of Zelda,7390,
74,New,Arthur Pendragon x Merlin,Merlin,28772,
74,22,Jason Peter Todd | Robin/Red Hood & Tim Drake | Robin/Red Robin,DC,7180,
76,-58,Amity Blight x Luz Noceda,The Owl House,12404,
77,New,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,28186,
78,New,Getou Suguru & Gojo Satoru,Jujutsu Kaisen | 呪術廻戦,3067,
79,New,Choi San | San x Jung Wooyoung | Wooyoung,ATEEZ,5959,
80,New,Fyodor Dostoyevsky x Nikolai Gogol,Bungou Stray Dogs | 文豪ストレイドッグス,3117,
81,New,Andrew Minyard x Neil Josten,All For The Game,11221,
82,New,Bruce Wayne | Batman & Jason Peter Todd | Robin/Red Hood,DC,7247,
83,New,Sung Hanbin | Hanbin x Zhang Hao,ZEROBASEONE / ZB1,2641,
84,New,Mitsurugi Reiji / Miles Edgeworth x Naruhodou Ryuuichi / Phoenix Wright,Ace Attourney | 逆転裁判,9618,
85,New,Enver Gortash x The Dark Urge | Player Character,Baldur's Gate,1566,
86,-29,Mikage Reo x Nagi Seishirou,BLUELOCK | ブルーロック,3410,
87,-76,Enid Sinclair x Wednesday Addams,Addam's Family Universe,6329,
88,New,Loki Laufeyson/Odinson x Mobius M. 'Moby' Mobius,Marvel,4897,
89,New,Akechi Goro x Amamiya Ren | Joker | Player Character,Persona,10208,
90,New,Mitsui Hisashi x Miyagi Ryota,SLAM DUNK | スラムダンク,2650,
91,-74,Daemon Targaryen x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,4962,
92,New,Jeon Wonwoo | Wonwoo x Kim Mingyu | Mingyu,SEVENTEEN,6250,
93,New,Furina de Fontaine x Neuvillette,Genshin Impact | 原神,1466,
94,-22,Felix Lee | Felix x Hwang Hyunjin | Hyunjin,Stray Kids,5465,
95,New,Bruce Wayne | Batman & Nicholas 'Dick' Grayson | Robin/Nightwing,DC,6628,
95,New,Rafael Lange Severino | Cellbit x Roier,Youtube,1812,
97,-72,Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,A Song of Ice and Fire / Game of Thrones Universe,4290,
98,-24,Aoyagi Touya x Shinonome Akito,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,3735,
99,New,Ivan x Till,Alien Stage,1398,
100,-76,Nicholas D. Wolfwood x Vash the Stampede,Trigun Universe | トライガン,4377,
