New,#,Ship,Fandom,Type,Race,Fics
None,86,"['Xander Harris', 'Spike']",Buffy the Vampire Slayer,"['M', 'M']",White,1371
None,=87,"['James Potter', 'Lily Evans Potter']",Harry PotterJ. K. Rowling,"['F', 'M']",White,1366
None,=87,"['Remus Lupin', 'Severus Snape']",Harry PotterJ. K. Rowling,"['M', 'M']",White,1366
None,89,"['Patrick Stump', 'Pete Wentz']",Fall Out Boy,"['M', 'M']",POC/Whi,1354
***,90,"['Patrick Kane', 'Jonathan Toews']",Hockey RPF,"['M', 'M']",White,1348
None,91,"['Dave Strider', 'Karkat Vantas']",Homestuck,"['M', 'M']",Ambig,1335
None,92,"['Spock', 'Nyota Uhura']",Star Trek: Alternate Original Series (Movies),"['F', 'M']",POC/Whi,1330
None,93,"['Lucifer', 'Sam Winchester']",Supernatural,"['M', 'M']",White,1329
None,94,"['John Egbert', 'Karkat Vantas']",Homestuck,"['M', 'M']",Ambig,1328
***,95,"['Peter Hale', 'Stiles Stilinski']",Teen Wolf (TV),"['M', 'M']",White,1313
None,96,"['Mike Ross', 'Harvey Specter']",Suits (TV),"['M', 'M']",White,1308
None,97,"['Greg House', 'James Wilson']",House M.D.,"['M', 'M']",White,1281
***,98,"['Niall Horan', 'Liam Payne']",One Direction (Band),"['M', 'M']",White,1280
***,99,"['Newton Geiszler', 'Hermann Gottlieb']",Pacific Rim (2013),"['M', 'M']",White,1277
***,100,"['Scott McCall', 'Stiles Stilinski']",Teen Wolf (TV),"['M', 'M']",POC/Whi,1250
