Rank   Change   Relationship   Fandom   New Works   Total   Type   Race   
44   N   Clay | Dream & GeorgeNotFound & Sapnap (Video Blogging RPF)   Video Blogging RPF   3291   3291   Gen   White   White
45   6   Hermione Granger/Ron Weasley   Harry Potter - J. K. Rowling   3234   14881   F/M   Ambig   White
46   35   Aizawa Shouta | Eraserhead & Midoriya Izuku   Boku no Hero Academia | My Hero Academia   3216   5373   Gen   Asian   Asian
47=   -28   Kara Danvers/Lena Luthor   Supergirl (TV 2015)   3193   16227   F/F   White   White
47=   -3   Dabi | Todoroki Touya/Takami Keigo | Hawks   Boku no Hero Academia | My Hero Academia   3193   6096   M/M   Asian   Asian
49   N   Hasegawa Langa/Kyan Reki   SK8 the Infinity (Anime)   3107   3107   M/M   Asian   Asian
50   24   James "Bucky" Barnes/Reader   Marvel Cinematic Universe   3081   10797   Other   White   Ambig
51   N   Tsukishima Kei/Yamaguchi Tadashi   Haikyuu!!   2993   7968   M/M   Asian   Asian
52   N   Technoblade & Phil Watson (Video Blogging RPF)   Minecraft (Video Game)   2973   2973   Gen   White   White
53   42   Sokka/Zuko (Avatar)   Avatar: The Last Airbender   2893   4680   M/M   Indig   Asian
54   -2   Sherlock Holmes/John Watson   Sherlock (TV)   2877   64408   M/M   White   White
55   N   Karl Jacobs/Sapnap   Video Blogging RPF   2853   2853   M/M   White   White
56   6   Kaminari Denki/Shinsou Hitoshi   Boku no Hero Academia | My Hero Academia   2820   5520   M/M   Asian   Asian
57   3   Harry Potter/Ginny Weasley   Harry Potter - J. K. Rowling   2777   12002   F/M   White   White
58   N   Wilbur Soot & Technoblade   Video Blogging RPF   2735   2735   Gen   White   White
59   N   Getou Suguru/Gojo Satoru   呪術廻戦 | Jujutsu Kaisen (Manga)   2716   2716   M/M   Asian   Asian
60   -23   Kim Taehyung | V/Park Jimin   Bangtan Boys | BTS   2629   12489   M/M   Asian   Asian
61   -20   Patrick Brewer/David Rose   Schitt's Creek   2617   5757   M/M   White   White
62   -34   Kim Namjoon | RM/Kim Seokjin | Jin   Bangtan Boys | BTS   2603   19256   M/M   Asian   Asian
63   -33   Min Yoongi | Suga/Park Jimin   Bangtan Boys | BTS   2586   22410   M/M   Asian   Asian
64   N   Clay | Dream & Sapnap (Video Blogging RPF)   Video Blogging RPF   2577   2577   Gen   White   White
65   -16   Bakugou Katsuki/Todoroki Shouto   Boku no Hero Academia | My Hero Academia   2559   7514   M/M   Asian   Asian
66   N   Obi-Wan Kenobi & Anakin Skywalker | Darth Vader   Star Wars - All Media Types   2535   5197   Gen   White   White
67   N   Sawamura Daichi/Sugawara Koushi   Haikyuu!!   2516   8761   M/M   Asian   Asian
68   15   Akechi Goro/Persona 5 Protagonist   Persona 5   2498   5765   M/M   Asian   Asian
69   -57   Aziraphale & Crowley (Good Omens)   Good Omens (TV)   2463   10369   Gen   White   White
70   N   Nanjo Kojiro | Joe/Sakurayashiki Kaoru | Cherry Blossom   SK8 the Infinity (Anime)   2461   2461   M/M   Asian   Asian
71   N   Ranboo & TommyInnit (Video Blogging RPF)   Minecraft (Video Game)   2445   2445   Gen   White   White
72   N   Katara/Zuko (Avatar)   Avatar: The Last Airbender   2441   5355   F/M   Indig   Asian
73   N   Diluc/Kaeya (Genshin Impact)   原神 | Genshin Impact (Video Game)   2425   2425   M/M   White   Ambig
74   N   Clay | Dream & GeorgeNotFound (Video Blogging RPF)   Video Blogging RPF   2385   2385   Gen   White   White
75   5   Dean Winchester & Sam Winchester   Supernatural   2376   11170   Gen   White   White
76   N   Clay | Dream & TommyInnit (Video Blogging RPF)   Video Blogging RPF   2371   2371   Gen   White   White
77   N   TommyInnit & Phil Watson (Video Blogging RPF)   Video Blogging RPF   2341   2341   Gen   White   White
78   N   Harry Styles/Louis Tomlinson   One Direction (Band)   2257   35365   M/M   White   White
79   -33   Jung Hoseok | J-Hope/Min Yoongi | Suga   Bangtan Boys | BTS   2249   14892   M/M   Asian   Asian
80=   -59   Pepper Potts/Tony Stark   Marvel Cinematic Universe   2245   19609   F/M   White   White
80=   N   Hinata Hajime/Komaeda Nagito   Super Dangan Ronpa 2   2245   5037   M/M   Asian   Asian
82   3   Han Jisung | Han/Lee Minho | Lee Know   Stray Kids (Band)   2242   5328   M/M   Asian   Asian
83   -58   Wang Yi Bo/Xiao Zhan | Sean   陈情令 | The Untamed (TV) RPF   2223   5659   M/M   Asian   Asian
84   -6   Annabeth Chase/Percy Jackson   Percy Jackson and the Olympians - Rick Riordan   2217   8205   F/M   White   White
85   N   Carlos Reyes/TK Strand   9-1-1: Lone Star (TV 2020)   2213   3154   M/M   Latino   White
86   N   Levi Ackerman/Erwin Smith   Shingeki no Kyojin | Attack on Titan   2169   8065   M/M   White   White
87=   N   Julie Molina/Luke Patterson   Julie and The Phantoms (TV 2020)   2150   2150   F/M   Latino   White
87=   N   Alexis | Quackity/Karl Jacobs/Sapnap   Minecraft (Video Game)   2150   2150   Poly   Latino   White
89   N   Bakugou Katsuki/Reader   Boku no Hero Academia | My Hero Academia   2138   4298   Other   Asian   Ambig
90   -32   Midoriya Izuku/Uraraka Ochako   Boku no Hero Academia | My Hero Academia   2136   6104   F/M   Asian   Asian
91   N   Zak Ahmed/Darryl Noveschosch   Video Blogging RPF   2135   2135   M/M   M.E.   White
92   -38   Jeon Jungkook/Min Yoongi | Suga   Bangtan Boys | BTS   2106   11576   M/M   Asian   Asian
93   N   Alex Mercer/Willie (Julie and The Phantoms)   Julie and The Phantoms (TV 2020)   2033   2033   M/M   White   As Ind
94   -3   Neil Josten/Andrew Minyard   All For The Game - Nora Sakavic   2021   6690   M/M   White   White
95   N   Oma Kokichi/Saihara Shuichi   New Dangan Ronpa V3: Everyone's New Semester of Killing   1986   4991   M/M   Asian   Asian
96   N   Clay | Dream & Technoblade (Video Blogging RPF)   Minecraft (Video Game)   1943   1943   Gen   White   White
97   -4   Midoriya Izuku & Todoroki Shouto   Boku no Hero Academia | My Hero Academia   1926   4790   Gen   Asian   Asian
98   N   Midoriya Izuku & Yagi Toshinori | All Might   Boku no Hero Academia | My Hero Academia   1916   4409   Gen   Asian   Asian
99   -5   Padmé Amidala/Anakin Skywalker | Darth Vader   Star Wars - All Media Types   1908   5999   F/M   White   White
100   N   Wen Kexing/Zhou Zishu   山河令 | Word of Honor (TV 2021)   1901   1901   M/M   Asian   Asian
