Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
64,-16,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,1731,,Attack on Titan | 進撃の巨人 - Annie Leonhart x Mikasa Ackerman
65,7,Charlotte 'Charlie' Magne/Morningstar x Vaggie,Hazbin Hotel Universe,1649,,Hazbin Hotel Universe - Charlotte 'Charlie' Magne/Morningstar x Vaggie
66,9,Anne Boonchuy x Marcy Wu,Amphibia,1628,,Amphibia - Anne Boonchuy x Marcy Wu
67,-6,Tara Maclay x Willow Rosenberg,Buffy Universe,1617,,Buffy Universe - Tara Maclay x Willow Rosenberg
68,-12,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1592,,Warehouse 13 - Helena 'H. G.' Wells x Myka Bering
69,-15,Clary Fray x Isabelle Lightwood,Mortal Instruments,1560,,Mortal Instruments - Clary Fray x Isabelle Lightwood
70,21,Dina x Ellie,The Last of Us,1556,,The Last of Us - Dina x Ellie
71,-13,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,1546,,A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell x Sansa Stark
72,-2,Kathryn Janeway x Seven of Nine,Star Trek,1544,,Star Trek - Kathryn Janeway x Seven of Nine
73,-10,Ruby x Sapphire,Steven Universe,1520,,Steven Universe - Ruby x Sapphire
74,-17,Cosima Niehaus x Delphine Cormier,Orphan Black,1509,,Orphan Black - Cosima Niehaus x Delphine Cormier
75,New,Alicent Hightower x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,1506,,A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower x Rhaenyra Targaryen
76,-12,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,DC,1493,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian
77,8,Shelby Goodkind x Toni Shalifoe,The Wilds,1464,,The Wilds - Shelby Goodkind x Toni Shalifoe
78,-13,Dani Clayton x Jamie Taylor,The Haunting of Bly Manor,1461,,The Haunting of Bly Manor - Dani Clayton x Jamie Taylor
79,18,Anne Boonchuy x Sasha Waybright,Amphibia,1453,,Amphibia - Anne Boonchuy x Sasha Waybright
80,-12,Christen Press x Tobin Heath,Women's Soccer,1447,,Women's Soccer - Christen Press x Tobin Heath
81,12,Ganyu x Keqing,Genshin Impact | 原神,1432,,Genshin Impact | 原神 - Ganyu x Keqing
82,-6,Carol Aird x Therese Belivet,Carol,1420,,Carol - Carol Aird x Therese Belivet
83,-5,Azula x Ty Lee,Avatar: The last Airbender Universe,1419,,Avatar: The last Airbender Universe - Azula x Ty Lee
84,-11,Buffy Summers x Faith Lehane,Buffy Universe,1418,,Buffy Universe - Buffy Summers x Faith Lehane
85,-18,Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,Power Rangers,1393,,Power Rangers - Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger
86,New,Marcy Wu x Sasha Waybright,Amphibia,1372,,Amphibia - Marcy Wu x Sasha Waybright
87,-13,Anya x Raven Reyes,The 100,1325,,The 100 - Anya x Raven Reyes
88,-9,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,DC,1321,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze
89,-18,Erin Gilbert x Jillian Holtzmann,Ghostbusters,1311,,Ghostbusters - Erin Gilbert x Jillian Holtzmann
90,New,Raelle Collar x Scylla Ramshorn,Motherland,1309,,Motherland - Raelle Collar x Scylla Ramshorn
91,-9,Kya II x Lin Beifong,Avatar: The last Airbender Universe,1306,,Avatar: The last Airbender Universe - Kya II x Lin Beifong
91,-10,Addison Montgomery x Meredith Grey,Grey's Anatomy Universe,1306,,Grey's Anatomy Universe - Addison Montgomery x Meredith Grey
93,-16,Amélie Lacroix | Widowmaker x Lena Oxton | Tracer,Overwatch,1304,,Overwatch - Amélie Lacroix | Widowmaker x Lena Oxton | Tracer
94,-8,Chloe Price x Rachel Amber,Life Is Strange,1299,,Life Is Strange - Chloe Price x Rachel Amber
95,-26,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,DC,1271,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl
96,-13,Andromache 'Andy' of Scythia x Quỳnh/Noriko,The Old Guard,1269,,The Old Guard - Andromache 'Andy' of Scythia x Quỳnh/Noriko
97,-17,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Marvel,1264,,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue
98,-15,Josie Saltzman x Penelope Park,Vampire Diaries Universe,1245,,Vampire Diaries Universe - Josie Saltzman x Penelope Park
99,-10,Terezi Pyrope x Vriska Serket,Homestuck,1222,,Homestuck - Terezi Pyrope x Vriska Serket
100,-9,Marceline x Princess Bubblegum,Adventure Time,1210,,Adventure Time - Marceline x Princess Bubblegum
