Rank,Change,Relationship,Fandom,Total Works,New Works
80,New,Dean Winchester x Y/N | Reader,Supernatural,6147,1613
81,-44,Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot,Youtube,7482,1608
82,New,Choi Soobin | Soobin x Choi Yeonjun | Yeonjun,TOMORROW X TOGETHER / TXT,5418,1601
83,New,Lucy Chen x Tim Bradford,The Rookie,3382,1580
84,New,Akutagawa Ryuunosuke x Nakajima Atsushi,Bungou Stray Dogs | 文豪ストレイドッグス,6031,1575
84,New,Lucas Sinclair x Maxine 'Max' Mayfield,Stranger Things,4438,1575
86,-51,Phil Watson | Philza & Thomas Michael Simons | TommyInnit,Youtube,7356,1565
87,-1,Uchiha Sasuke x Uzumaki Naruto,Naruto,13062,1561
88,7,Eddie Munson x Y/N | Reader,Stranger Things,3330,1558
89,-21,Carlos Reyes x TK Strand,9-1-1,6870,1545
90,New,Simon Eriksson x Wilhelm,Young Royals,3100,1543
91,New,Edward Teach | Blackbeard x Israel Hands,Our Flag Means Death,2655,1519
92,New,Charles | Grian x Ryan | GoodTimesWithScar,Youtube,2297,1512
93,New,Chrissy Cunningham x Eddie Munson,Stranger Things,2393,1510
94,New,Alicent Hightower x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,1506,1506
95,-2,Bakugou Katsuki x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,10774,1485
96,New,Jason Peter Todd | Robin/Red Hood & Tim Drake | Robin/Red Robin,DC,5487,1475
97,New,Liu'Er Mihou | Six-eared Macaque x Sun Wukong | Monkey King,Journey to the West Universe,1959,1470
97,-68,Miya Atsumu x Sakusa Kiyoomi,Haikyuu!! | ハイキュー!!,11253,1470
99,-34,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,26124,1459
100,New,Jim 'Chief' Hopper x Joyce Byers,Stranger Things,4090,1447
