index,ship_name,fandom,rpf,gender_combo,race_combo,orientation_combo,gen_ship,canon,canon_alignment,incest,country_of_origin,language,member_no,member_1,member_2,member_3,member_4
5 Seconds of Summer - Luke Hemmings x Michael Clifford,Luke Hemmings x Michael Clifford,5 Seconds of Summer,True,M / M,White,str8,False,No,conflicted,No,Australia,English,2,Luke Hemmings,Michael Clifford,,
9-1-1 - Carlos Reyes x TK Strand,Carlos Reyes x TK Strand,9-1-1,False,M / M,Latin / White,bi / gay,False,Yes,aligned,No,USA,English,2,Carlos Reyes,TK Strand,,
9-1-1 - Eddie Diaz x Evan 'Buck' Buckley,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,False,M / M,Latin / White,str8 / bi,False,No,conflicted,No,USA,English,2,Eddie Diaz,Evan 'Buck' Buckley,,
9-1-1 - Evan 'Buck' Buckley x Thomas 'Tommy' Kinard,Evan 'Buck' Buckley x Thomas 'Tommy' Kinard,9-1-1,False,M / M,White,bi / gay,False,Yes,aligned,No,USA,English,2,Evan 'Buck' Buckley,Thomas 'Tommy' Kinard,,
A Song of Ice and Fire / Game of Thrones Universe - Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,A Song of Ice and Fire / Game of Thrones Universe,False,M / M,White,unspecified,False,No,ambiguous,Yes,USA,English,2,Aemond 'One-Eye' Targaryen,Lucerys 'Luke' Velaryon,,
A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower x Rhaenyra Targaryen,Alicent Hightower x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,False,F / F,White,str8 / bi,False,No,conflicted,non-blood related,USA,English,2,Alicent Hightower,Rhaenyra Targaryen,,
A Song of Ice and Fire / Game of Thrones Universe - Arya Stark x Gendry Waters,Arya Stark x Gendry Waters,A Song of Ice and Fire / Game of Thrones Universe,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Arya Stark,Gendry Waters,,
A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth x Jaime Lannister,Brienne of Tarth x Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Brienne of Tarth,Jaime Lannister,,
A Song of Ice and Fire / Game of Thrones Universe - Daemon Targaryen x Rhaenyra Targaryen,Daemon Targaryen x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,False,M / F,White,str8 / bi,False,Yes,aligned,Yes,USA,English,2,Daemon Targaryen,Rhaenyra Targaryen,,
A Song of Ice and Fire / Game of Thrones Universe - Daenerys Targaryen | Khaleesi x Jon Snow,Daenerys Targaryen | Khaleesi x Jon Snow,A Song of Ice and Fire / Game of Thrones Universe,False,F / M,White,str8,False,Yes,aligned,Yes,USA,English,2,Daenerys Targaryen | Khaleesi,Jon Snow,,
A Song of Ice and Fire / Game of Thrones Universe - Jon Snow x Sansa Stark,Jon Snow x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,False,M / F,White,str8,False,No,aligned,Yes,USA,English,2,Jon Snow,Sansa Stark,,
A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell x Sansa Stark,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Margaery Tyrell,Sansa Stark,,
ATEEZ - Choi San | San x Jung Wooyoung | Wooyoung,Choi San | San x Jung Wooyoung | Wooyoung,ATEEZ,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Choi San | San,Jung Wooyoung | Wooyoung,,
ATEEZ - Kim Hongjoong | Hongjoong x Park Seonghwa | Seonghwa,Kim Hongjoong | Hongjoong x Park Seonghwa | Seonghwa,ATEEZ,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Kim Hongjoong | Hongjoong,Park Seonghwa | Seonghwa,,
Ace Attourney | 逆転裁判 - Mitsurugi Reiji / Miles Edgeworth x Naruhodou Ryuuichi / Phoenix Wright,Mitsurugi Reiji / Miles Edgeworth x Naruhodou Ryuuichi / Phoenix Wright,Ace Attourney | 逆転裁判,False,M / M,E Asian,unspecified / str8,False,No,conflicted,No,Japan,Japanese,2,Mitsurugi Reiji / Miles Edgeworth,Naruhodou Ryuuichi / Phoenix Wright,,
Adam Lambert - Adam Lambert x Kris Allen,Adam Lambert x Kris Allen,Adam Lambert,True,M / M,White,gay / str8,False,No,conflicted,No,USA,English,2,Adam Lambert,Kris Allen,,
Adam Lambert - Adam Lambert x Tommy Ratliff,Adam Lambert x Tommy Ratliff,Adam Lambert,True,M / M,White,gay / unspecified,False,No,ambiguous,No,USA,English,2,Adam Lambert,Tommy Ratliff,,
Addam's Family Universe - Enid Sinclair x Wednesday Addams,Enid Sinclair x Wednesday Addams,Addam's Family Universe,False,F / F,White / Latin,str8,False,No,conflicted,No,USA,English,2,Enid Sinclair,Wednesday Addams,,
Adventure Time - Marceline x Princess Bubblegum,Marceline x Princess Bubblegum,Adventure Time,False,F / F,N.H.,bi,False,Yes,aligned,No,USA,English,2,Marceline,Princess Bubblegum,,
Aespa / æspa - Kim Minjeong | Winter x Yu Jimin | Karina,Kim Minjeong | Winter x Yu Jimin | Karina,Aespa / æspa,True,F / F,E Asian,unspecified / str8,False,No,conflicted,No,South Korea,Korean,2,Kim Minjeong | Winter,Yu Jimin | Karina,,
Alien Stage - Ivan x Till,Ivan x Till,Alien Stage,False,M / M,Ambig,gay / str8,False,One-sided,conflicted,non-blood related,South Korea,Korean,2,Ivan,Till,,
All For The Game - Andrew Minyard x Neil Josten,Andrew Minyard x Neil Josten,All For The Game,False,M / M,White,gay,False,Yes,aligned,No,Unknown,English,2,Andrew Minyard,Neil Josten,,
American Horror Story - Cordelia Foxx/Goode | The Supreme x Misty Day,Cordelia Foxx/Goode | The Supreme x Misty Day,American Horror Story,False,F / F,White,str8 / unspecified,False,No,conflicted,No,USA,English,2,Cordelia Foxx/Goode | The Supreme,Misty Day,,
Amphibia - Anne Boonchuy x Marcy Wu,Anne Boonchuy x Marcy Wu,Amphibia,False,F / F,SE Asian / E Asian,unspecified,False,No,ambiguous,No,USA,English,2,Anne Boonchuy,Marcy Wu,,
Amphibia - Anne Boonchuy x Marcy Wu x Sasha Waybright,Anne Boonchuy x Marcy Wu x Sasha Waybright,Amphibia,False,F / F,SE Asian / E Asian / White,unspecified,False,No,ambiguous,No,USA,English,3,Anne Boonchuy,Marcy Wu,Sasha Waybright,
Amphibia - Anne Boonchuy x Sasha Waybright,Anne Boonchuy x Sasha Waybright,Amphibia,False,F / F,SE Asian / White,unspecified,False,No,ambiguous,No,USA,English,2,Anne Boonchuy,Sasha Waybright,,
Amphibia - Marcy Wu x Sasha Waybright,Marcy Wu x Sasha Waybright,Amphibia,False,F / F,E Asian / White,unspecified,False,No,ambiguous,No,USA,English,2,Marcy Wu,Sasha Waybright,,
Arcane - Caitlyn x Vi,Caitlyn x Vi,Arcane,False,F / F,Asian (Multi) / White,gay,False,Yes,aligned,No,France / USA,English,2,Caitlyn,Vi,,
Arcane - Jayce x Viktor,Jayce x Viktor,Arcane,False,M / M,Ambig / White,str8 / unspecified,False,No,conflicted,No,France / USA,English,2,Jayce,Viktor,,
Archie Comics Universe - Betty Cooper x Jughead Jones,Betty Cooper x Jughead Jones,Archie Comics Universe,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Betty Cooper,Jughead Jones,,
Archie Comics Universe - Betty Cooper x Veronica Lodge,Betty Cooper x Veronica Lodge,Archie Comics Universe,False,F / F,White / Latin,str8,False,No,conflicted,No,USA,English,2,Betty Cooper,Veronica Lodge,,
Archie Comics Universe - Cheryl Blossom x Toni Topaz,Cheryl Blossom x Toni Topaz,Archie Comics Universe,False,F / F,White / Black (Multi),gay,False,Yes,aligned,No,USA,English,2,Cheryl Blossom,Toni Topaz,,
Archie Comics Universe - Mary Wardwell | Madam Satan / Lilith x Zelda Spellman,Mary Wardwell | Madam Satan / Lilith x Zelda Spellman,Archie Comics Universe,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Mary Wardwell | Madam Satan / Lilith,Zelda Spellman,,
Attack on Titan | 進撃の巨人 - Annie Leonhart x Mikasa Ackerman,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,False,F / F,White / E Asian (Multi),str8 / unspecified,False,No,conflicted,No,Japan,Japanese,2,Annie Leonhart,Mikasa Ackerman,,
Attack on Titan | 進撃の巨人 - Eren Yeager x Levi Ackerman,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,False,M / M,White,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Eren Yeager,Levi Ackerman,,
Attack on Titan | 進撃の巨人 - Erwin Smith x Levi Ackerman,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,False,M / M,White,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Erwin Smith,Levi Ackerman,,
Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz x Ymir of the 104th,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,False,F / F,White,unspecified / gay,False,One-sided,ambiguous,No,Japan,Japanese,2,Historia Reiss | Krista Lenz,Ymir of the 104th,,
Attack on Titan | 進撃の巨人 - Jean Kirstein x Marco Bott,Jean Kirstein x Marco Bott,Attack on Titan | 進撃の巨人,False,M / M,White,str8 / unspecified,False,No,conflicted,No,Japan,Japanese,2,Jean Kirstein,Marco Bott,,
Avatar: The last Airbender Universe - Asami Sato x Korra,Asami Sato x Korra,Avatar: The last Airbender Universe,False,F / F,E Asian / As Ind,bi,False,Yes,aligned,No,USA,English,2,Asami Sato,Korra,,
Avatar: The last Airbender Universe - Azula x Ty Lee,Azula x Ty Lee,Avatar: The last Airbender Universe,False,F / F,E Asian,str8,False,No,conflicted,No,USA,English,2,Azula,Ty Lee,,
Avatar: The last Airbender Universe - Katara x Zuko,Katara x Zuko,Avatar: The last Airbender Universe,False,F / M,As Ind / E Asian,str8,False,No,aligned,No,USA,English,2,Katara,Zuko,,
Avatar: The last Airbender Universe - Kya II x Lin Beifong,Kya II x Lin Beifong,Avatar: The last Airbender Universe,False,F / F,As Ind / S Asian (Multi) / E Asian,gay / str8,False,No,conflicted,No,USA,English,2,Kya II,Lin Beifong,,
Avatar: The last Airbender Universe - Sokka x Zuko,Sokka x Zuko,Avatar: The last Airbender Universe,False,M / M,As Ind / E Asian,str8,False,No,conflicted,No,USA,English,2,Sokka,Zuko,,
BLUELOCK | ブルーロック - Mikage Reo x Nagi Seishirou,Mikage Reo x Nagi Seishirou,BLUELOCK | ブルーロック,False,M / M,E Asian,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Mikage Reo,Nagi Seishirou,,
Baldur's Gate - Astarion Ancunín x Gale Dekarios,Astarion Ancunín x Gale Dekarios,Baldur's Gate,False,M / M,White,bi,False,No,aligned,No,Belgium / Canada / USA,English,2,Astarion Ancunín,Gale Dekarios,,
Baldur's Gate - Astarion Ancunín x Tav | Player Character,Astarion Ancunín x Tav | Player Character,Baldur's Gate,False,M / Ambig,White / Ambig,bi,False,Yes,ambiguous,No,Belgium / Canada / USA,English,2,Astarion Ancunín,Tav | Player Character,,
Baldur's Gate - Astarion Ancunín x The Dark Urge | Player Character,Astarion Ancunín x The Dark Urge | Player Character,Baldur's Gate,False,M / Ambig,White / Ambig,bi,False,Yes,ambiguous,No,Belgium / Canada / USA,English,2,Astarion Ancunín,The Dark Urge | Player Character,,
Baldur's Gate - Astarion Ancunín x Y/N | Reader,Astarion Ancunín x Y/N | Reader,Baldur's Gate,False,M / Ambig,White / Ambig,bi / unspecified,False,No,ambiguous,No,Belgium / Canada / USA,English,2,Astarion Ancunín,Y/N | Reader,,
Baldur's Gate - Enver Gortash x The Dark Urge | Player Character,Enver Gortash x The Dark Urge | Player Character,Baldur's Gate,False,M / Ambig,White / Ambig,unspecified / bi,False,No,ambiguous,No,Belgium / Canada / USA,English,2,Enver Gortash,The Dark Urge | Player Character,,
Baldur's Gate - Gale Dekarios x Tav | Player Character,Gale Dekarios x Tav | Player Character,Baldur's Gate,False,M / Ambig,White / Ambig,bi,False,Yes,ambiguous,No,Belgium / Canada / USA,English,2,Gale Dekarios,Tav | Player Character,,
Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Namjoon | Rap Monster/RM,Jeon Jungkook | Jungkook x Kim Namjoon | Rap Monster/RM,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Jeon Jungkook | Jungkook,Kim Namjoon | Rap Monster/RM,,
Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Jeon Jungkook | Jungkook,Kim Taehyung | V,,
Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Min Yoongi | Suga,Jeon Jungkook | Jungkook x Min Yoongi | Suga,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Jeon Jungkook | Jungkook,Min Yoongi | Suga,,
Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Park Jimin | Jimin,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Jeon Jungkook | Jungkook,Park Jimin | Jimin,,
Bangtan Boys / BTS - Jung Hoseok | J-Hope x Min Yoongi | Suga,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Jung Hoseok | J-Hope,Min Yoongi | Suga,,
Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Kim Namjoon | Rap Monster/RM,Kim Seokjin | Jin,,
Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Park Jimin | Jimin,Kim Namjoon | Rap Monster/RM x Park Jimin | Jimin,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Kim Namjoon | Rap Monster/RM,Park Jimin | Jimin,,
Bangtan Boys / BTS - Kim Seokjin | Jin x Min Yoongi | Suga,Kim Seokjin | Jin x Min Yoongi | Suga,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Kim Seokjin | Jin,Min Yoongi | Suga,,
Bangtan Boys / BTS - Kim Taehyung | V x Min Yoongi | Suga,Kim Taehyung | V x Min Yoongi | Suga,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Kim Taehyung | V,Min Yoongi | Suga,,
Bangtan Boys / BTS - Kim Taehyung | V x Park Jimin | Jimin,Kim Taehyung | V x Park Jimin | Jimin,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Kim Taehyung | V,Park Jimin | Jimin,,
Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Min Yoongi | Suga,Park Jimin | Jimin,,
Be More Chill - Jeremy Heere x Michael Mell,Jeremy Heere x Michael Mell,Be More Chill,False,M / M,White / Ambig,str8 / unspecified,False,No,conflicted,No,USA,English,2,Jeremy Heere,Michael Mell,,
"Bridgerton - Anthony Bridgerton x Kate Bridgerton, née Sheffield/Sharma","Anthony Bridgerton x Kate Bridgerton, née Sheffield/Sharma",Bridgerton,False,M / F,White / Ambig,str8,False,Yes,aligned,No,USA,English,2,Anthony Bridgerton,"Kate Bridgerton, née Sheffield/Sharma",,
"Bridgerton - Colin Bridgerton x Penelope Bridgerton, née Featherington","Colin Bridgerton x Penelope Bridgerton, née Featherington",Bridgerton,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Colin Bridgerton,"Penelope Bridgerton, née Featherington",,
Buffy Universe - Buffy Summers x Faith Lehane,Buffy Summers x Faith Lehane,Buffy Universe,False,F / F,White,bi / str8,False,No,conflicted,No,USA,English,2,Buffy Summers,Faith Lehane,,
Buffy Universe - Buffy Summers x Spike,Buffy Summers x Spike,Buffy Universe,False,F / M,White,bi / str8,False,Yes,aligned,No,USA,English,2,Buffy Summers,Spike,,
Buffy Universe - Buffy Summers x Willow Rosenberg,Buffy Summers x Willow Rosenberg,Buffy Universe,False,F / F,White,bi / gay,False,No,aligned,No,USA,English,2,Buffy Summers,Willow Rosenberg,,
Buffy Universe - Spike x Xander Harris,Spike x Xander Harris,Buffy Universe,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Spike,Xander Harris,,
Buffy Universe - Tara Maclay x Willow Rosenberg,Tara Maclay x Willow Rosenberg,Buffy Universe,False,F / F,White,gay,False,Yes,aligned,No,USA,English,2,Tara Maclay,Willow Rosenberg,,
Bungou Stray Dogs | 文豪ストレイドッグス - Akutagawa Ryuunosuke x Nakajima Atsushi,Akutagawa Ryuunosuke x Nakajima Atsushi,Bungou Stray Dogs | 文豪ストレイドッグス,False,M / M,E Asian,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Akutagawa Ryuunosuke,Nakajima Atsushi,,
Bungou Stray Dogs | 文豪ストレイドッグス - Dazai Osamu & Nakahara Chuuya,Dazai Osamu & Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,False,M / M,E Asian,str8 / unspecified,True,gen ship,gen ship,gen ship,Japan,Japanese,2,Dazai Osamu,Nakahara Chuuya,,
Bungou Stray Dogs | 文豪ストレイドッグス - Dazai Osamu x Nakahara Chuuya,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,False,M / M,E Asian,str8 / unspecified,False,No,conflicted,No,Japan,Japanese,2,Dazai Osamu,Nakahara Chuuya,,
Bungou Stray Dogs | 文豪ストレイドッグス - Fyodor Dostoyevsky x Nikolai Gogol,Fyodor Dostoyevsky x Nikolai Gogol,Bungou Stray Dogs | 文豪ストレイドッグス,False,M / M,White,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Fyodor Dostoyevsky,Nikolai Gogol,,
Call of Duty - John 'Soap' MacTavish x Simon 'Ghost' Riley,John 'Soap' MacTavish x Simon 'Ghost' Riley,Call of Duty,False,M / M,White,unspecified,False,No,ambiguous,No,USA,English,2,John 'Soap' MacTavish,Simon 'Ghost' Riley,,
Call of Duty - Simon 'Ghost' Riley x Y/N | Reader,Simon 'Ghost' Riley x Y/N | Reader,Call of Duty,False,M / Ambig,White / Ambig,unspecified,False,No,ambiguous,No,USA,English,2,Simon 'Ghost' Riley,Y/N | Reader,,
Carmilla - Carmilla Karnstein x Danny Lawrence,Carmilla Karnstein x Danny Lawrence,Carmilla,False,F / F,White,gay,False,No,aligned,No,Canada,English,2,Carmilla Karnstein,Danny Lawrence,,
Carmilla - Carmilla Karnstein x Danny Lawrence x Laura Hollis,Carmilla Karnstein x Danny Lawrence x Laura Hollis,Carmilla,False,F / F,White,gay,False,No,aligned,No,Canada,English,3,Carmilla Karnstein,Danny Lawrence,Laura Hollis,
Carmilla - Carmilla Karnstein x Laura Hollis,Carmilla Karnstein x Laura Hollis,Carmilla,False,F / F,White,gay,False,Yes,aligned,No,Canada,English,2,Carmilla Karnstein,Laura Hollis,,
Carmilla - Danny Lawrence x Laura Hollis,Danny Lawrence x Laura Hollis,Carmilla,False,F / F,White,gay,False,Yes,aligned,No,Canada,English,2,Danny Lawrence,Laura Hollis,,
Carol - Carol Aird x Therese Belivet,Carol Aird x Therese Belivet,Carol,False,F / F,White,gay,False,Yes,aligned,No,UK / USA,English,2,Carol Aird,Therese Belivet,,
Carry On - Simon Snow x Tyrannus Basilton 'Baz' Grimm-Pitch,Simon Snow x Tyrannus Basilton 'Baz' Grimm-Pitch,Carry On,False,M / M,White / MENA (Multi),bi / gay,False,Yes,aligned,No,USA,English,2,Simon Snow,Tyrannus Basilton 'Baz' Grimm-Pitch,,
Check Please! - Eric Bittle x Jack Zimmermann,Eric Bittle x Jack Zimmermann,Check Please!,False,M / M,White,gay,False,Yes,aligned,No,USA,English,2,Eric Bittle,Jack Zimmermann,,
Criminal Minds - Emily Prentiss x Jennifer 'JJ' Jareau,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Emily Prentiss,Jennifer 'JJ' Jareau,,
Critical Role - Beauregard Lionett x Jester Lavorre,Beauregard Lionett x Jester Lavorre,Critical Role,False,F / F,Ambig / N.H.,gay / str8,False,No,conflicted,No,USA,English,2,Beauregard Lionett,Jester Lavorre,,
Critical Role - Beauregard Lionett x Yasha Nydoorin,Beauregard Lionett x Yasha Nydoorin,Critical Role,False,F / F,Ambig / White,gay,False,Yes,aligned,No,USA,English,2,Beauregard Lionett,Yasha Nydoorin,,
Critical Role - Imogen Temult x Laudna,Imogen Temult x Laudna,Critical Role,False,F / F,White / N.H.,gay,False,Yes,aligned,No,USA,English,2,Imogen Temult,Laudna,,
DC - Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,DC,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Alexander Joseph 'Lex' Luthor,Clark Kent | Superman,,
DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,DC,False,F / F,White,gay / str8,False,No,conflicted,No,USA,English,2,Alexandra 'Alex' Danvers | Supergirl/Sentinel,Astra In-Ze,,
DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,DC,False,F / F,White,gay / str8,False,No,conflicted,non-blood related,USA,English,2,Alexandra 'Alex' Danvers | Supergirl/Sentinel,Kara Danvers/Zor-El | Supergirl,,
DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,DC,False,F / F,White / Black,gay,False,Yes,aligned,No,USA,English,2,Alexandra 'Alex' Danvers | Supergirl/Sentinel,Kelly Olsen | Guardian,,
DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,False,F / F,White / Ambig,gay,False,Yes,aligned,No,USA,English,2,Alexandra 'Alex' Danvers | Supergirl/Sentinel,Maggie Sawyer,,
DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Samantha 'Sam' Arias | Reign,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Samantha 'Sam' Arias | Reign,DC,False,F / F,White / Latin,gay / unspecified,False,No,ambiguous,No,USA,English,2,Alexandra 'Alex' Danvers | Supergirl/Sentinel,Samantha 'Sam' Arias | Reign,,
DC - Ava Sharpe | Roundhouse x Sara Lance | White Canary,Ava Sharpe | Roundhouse x Sara Lance | White Canary,DC,False,F / F,White,gay / bi,False,Yes,aligned,No,USA,English,2,Ava Sharpe | Roundhouse,Sara Lance | White Canary,,
DC - Barry Allen | The Flash x Leonard Snart | Captain Cold,Barry Allen | The Flash x Leonard Snart | Captain Cold,DC,False,M / M,White / White (Multi),str8,False,No,conflicted,No,USA,English,2,Barry Allen | The Flash,Leonard Snart | Captain Cold,,
DC - Bruce Wayne | Batman & Jason Peter Todd | Robin/Red Hood,Bruce Wayne | Batman & Jason Peter Todd | Robin/Red Hood,DC,False,M / M,White,str8,True,gen ship,gen ship,gen ship,USA,English,2,Bruce Wayne | Batman,Jason Peter Todd | Robin/Red Hood,,
DC - Bruce Wayne | Batman & Nicholas 'Dick' Grayson | Robin/Nightwing,Bruce Wayne | Batman & Nicholas 'Dick' Grayson | Robin/Nightwing,DC,False,M / M,White / Romani,str8,True,gen ship,gen ship,gen ship,USA,English,2,Bruce Wayne | Batman,Nicholas 'Dick' Grayson | Robin/Nightwing,,
DC - Bruce Wayne | Batman x Clark Kent | Superman,Bruce Wayne | Batman x Clark Kent | Superman,DC,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Bruce Wayne | Batman,Clark Kent | Superman,,
DC - Cat Grant x Kara Danvers/Zor-El | Supergirl,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Cat Grant,Kara Danvers/Zor-El | Supergirl,,
DC - Connor 'Kon-El' Kent | Superboy x Tim Drake | Robin/Red Robin,Connor 'Kon-El' Kent | Superboy x Tim Drake | Robin/Red Robin,DC,False,M / M,White,str8 / bi,False,No,conflicted,No,USA,English,2,Connor 'Kon-El' Kent | Superboy,Tim Drake | Robin/Red Robin,,
DC - Edward Nygma | The Riddler x Oswald Cobblepot | The Penguin,Edward Nygma | The Riddler x Oswald Cobblepot | The Penguin,DC,False,M / M,White,str8 / gay,False,One-sided,conflicted,No,USA,English,2,Edward Nygma | The Riddler,Oswald Cobblepot | The Penguin,,
DC - Felicity Smoak x Oliver Queen | Green Arrow,Felicity Smoak x Oliver Queen | Green Arrow,DC,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Felicity Smoak,Oliver Queen | Green Arrow,,
DC - Felicity Smoak x Sara Lance | White Canary,Felicity Smoak x Sara Lance | White Canary,DC,False,F / F,White,str8 / bi,False,No,conflicted,No,USA,English,2,Felicity Smoak,Sara Lance | White Canary,,
DC - Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,False,F / F,White / Ambig,bi,False,Yes,aligned,No,USA,English,2,Harleen Quinzel | Harley Quinn,Pamela Isley | Poison Ivy,,
DC - Jason Peter Todd | Robin/Red Hood & Nicholas 'Dick' Grayson | Robin/Nightwing,Jason Peter Todd | Robin/Red Hood & Nicholas 'Dick' Grayson | Robin/Nightwing,DC,False,M / M,White / Romani,str8,True,gen ship,gen ship,gen ship,USA,English,2,Jason Peter Todd | Robin/Red Hood,Nicholas 'Dick' Grayson | Robin/Nightwing,,
DC - Jason Peter Todd | Robin/Red Hood & Tim Drake | Robin/Red Robin,Jason Peter Todd | Robin/Red Hood & Tim Drake | Robin/Red Robin,DC,False,M / M,White,str8 / bi,True,gen ship,gen ship,gen ship,USA,English,2,Jason Peter Todd | Robin/Red Hood,Tim Drake | Robin/Red Robin,,
DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Kara Danvers/Zor-El | Supergirl,Lena Luthor | Ultrawoman,,
DC - Nyssa Raatko/al Ghul x Sara Lance | White Canary,Nyssa Raatko/al Ghul x Sara Lance | White Canary,DC,False,F / F,MENA / White,gay / bi,False,Yes,aligned,No,USA,English,2,Nyssa Raatko/al Ghul,Sara Lance | White Canary,,
Danganronpa - Hinata Hajime x Komaeda Nagito,Hinata Hajime x Komaeda Nagito,Danganronpa,False,M / M,E Asian,str8 / gay,False,No,conflicted,No,Japan,Japanese,2,Hinata Hajime,Komaeda Nagito,,
