index,ship_name,fandom,rpf,gender_combo,race_combo,orientation_combo,gen_ship,canon,canon_alignment,incest,country_of_origin,language,member_no,member_1,member_2,member_3,member_4
Steven Universe - Amethyst x Pearl,Amethyst x Pearl,Steven Universe,False,F | Other / F | Other,N.H.,unspecified / gay,False,No,ambiguous,No,USA,English,2,Amethyst,Pearl,,
Steven Universe - Amethyst x Peridot,Amethyst x Peridot,Steven Universe,False,F | Other / F | Other,N.H.,unspecified / acearo,False,No,conflicted,No,USA,English,2,Amethyst,Peridot,,
Steven Universe - Garnet x Pearl,Garnet x Pearl,Steven Universe,False,F | Other / F | Other,N.H.,unspecified / gay,False,No,ambiguous,No,USA,English,2,Garnet,Pearl,,
Steven Universe - Jasper x Peridot,Jasper x Peridot,Steven Universe,False,F | Other / F | Other,N.H.,unspecified / acearo,False,No,conflicted,No,USA,English,2,Jasper,Peridot,,
Steven Universe - Lapis Lazuli x Peridot,Lapis Lazuli x Peridot,Steven Universe,False,F | Other / F | Other,N.H.,unspecified / acearo,False,No,conflicted,No,USA,English,2,Lapis Lazuli,Peridot,,
Steven Universe - Pearl x Rose Quartz | Pink Diamond,Pearl x Rose Quartz | Pink Diamond,Steven Universe,False,F | Other / F | Other,N.H.,gay / bi,False,Yes,aligned,No,USA,English,2,Pearl,Rose Quartz | Pink Diamond,,
Steven Universe - Ruby x Sapphire,Ruby x Sapphire,Steven Universe,False,F | Other / F | Other,N.H.,gay,False,Yes,aligned,No,USA,English,2,Ruby,Sapphire,,
Stranger Things - Billy Hargrove x Steve Harrington,Billy Hargrove x Steve Harrington,Stranger Things,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Billy Hargrove,Steve Harrington,,
Stranger Things - Chrissy Cunningham x Eddie Munson,Chrissy Cunningham x Eddie Munson,Stranger Things,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Chrissy Cunningham,Eddie Munson,,
Stranger Things - Eddie Munson x Steve Harrington,Eddie Munson x Steve Harrington,Stranger Things,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Eddie Munson,Steve Harrington,,
