index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation,country_of_origin,continent,language
Adam Lambert - Tommy Ratliff,Tommy Ratliff,Adam Lambert,2013,2015,3,M,White,unspecified,USA,North America,English
Addam's Family Universe - Enid Sinclair,Enid Sinclair,Addam's Family Universe,2023,2024,2,F,White,str8,USA,North America,English
Addam's Family Universe - Wednesday Addams,Wednesday Addams,Addam's Family Universe,2023,2024,2,F,Latin,str8,USA,North America,English
Adventure Time - Marceline,Marceline,Adventure Time,2014,2024,10,F,N.H.,bi,USA,North America,English
Adventure Time - Princess Bubblegum,Princess Bubblegum,Adventure Time,2014,2024,10,F,N.H.,bi,USA,North America,English
Aespa / æspa - Kim Minjeong | Winter,Kim Minjeong | Winter,Aespa / æspa,2024,2024,1,F,E Asian,unspecified,South Korea,Asia,Korean
Aespa / æspa - Yu Jimin | Karina,Yu Jimin | Karina,Aespa / æspa,2024,2024,1,F,E Asian,str8,South Korea,Asia,Korean
Alien Stage - Ivan,Ivan,Alien Stage,2024,2024,1,M,Ambig,gay,South Korea,Asia,Korean
Alien Stage - Till,Till,Alien Stage,2024,2024,1,M,Ambig,str8,South Korea,Asia,Korean
All For The Game - Andrew Minyard,Andrew Minyard,All For The Game,2020,2024,4,M,White,gay,Unknown,Unknown,English
All For The Game - Neil Josten,Neil Josten,All For The Game,2020,2024,4,M,White,gay,Unknown,Unknown,English
American Horror Story - Cordelia Foxx/Goode | The Supreme,Cordelia Foxx/Goode | The Supreme,American Horror Story,2019,2021,3,F,White,str8,USA,North America,English
American Horror Story - Misty Day,Misty Day,American Horror Story,2019,2021,3,F,White,unspecified,USA,North America,English
Amphibia - Anne Boonchuy,Anne Boonchuy,Amphibia,2022,2024,3,F,SE Asian,unspecified,USA,North America,English
Amphibia - Marcy Wu,Marcy Wu,Amphibia,2022,2024,3,F,E Asian,unspecified,USA,North America,English
Amphibia - Sasha Waybright,Sasha Waybright,Amphibia,2022,2024,3,F,White,unspecified,USA,North America,English
Arcane - Caitlyn,Caitlyn,Arcane,2022,2024,3,F,Asian (Multi),gay,France / USA,Europe / North America,English
Arcane - Jayce,Jayce,Arcane,2022,2022,1,M,Ambig,str8,France / USA,Europe / North America,English
Arcane - Vi,Vi,Arcane,2022,2024,3,F,White,gay,France / USA,Europe / North America,English
Arcane - Viktor,Viktor,Arcane,2022,2022,1,M,White,unspecified,France / USA,Europe / North America,English
Archie Comics Universe - Betty Cooper,Betty Cooper,Archie Comics Universe,2017,2021,4,F,White,str8,USA,North America,English
Archie Comics Universe - Cheryl Blossom,Cheryl Blossom,Archie Comics Universe,2019,2024,6,F,White,gay,USA,North America,English
Archie Comics Universe - Jughead Jones,Jughead Jones,Archie Comics Universe,2017,2019,2,M,White,str8,USA,North America,English
Archie Comics Universe - Mary Wardwell | Madam Satan / Lilith,Mary Wardwell | Madam Satan / Lilith,Archie Comics Universe,2021,2021,1,F,White,str8,USA,North America,English
Archie Comics Universe - Toni Topaz,Toni Topaz,Archie Comics Universe,2019,2024,6,F,Black (Multi),gay,USA,North America,English
Archie Comics Universe - Veronica Lodge,Veronica Lodge,Archie Comics Universe,2017,2021,4,F,Latin,str8,USA,North America,English
Archie Comics Universe - Zelda Spellman,Zelda Spellman,Archie Comics Universe,2021,2021,1,F,White,str8,USA,North America,English
Attack on Titan | 進撃の巨人 - Annie Leonhart,Annie Leonhart,Attack on Titan | 進撃の巨人,2014,2024,10,F,White,str8,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Eren Yeager,Eren Yeager,Attack on Titan | 進撃の巨人,2014,2024,10,M,White,unspecified,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Erwin Smith,Erwin Smith,Attack on Titan | 進撃の巨人,2014,2024,8,M,White,unspecified,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz,Historia Reiss | Krista Lenz,Attack on Titan | 進撃の巨人,2014,2024,10,F,White,unspecified,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Jean Kirstein,Jean Kirstein,Attack on Titan | 進撃の巨人,2014,2019,5,M,White,str8,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Levi Ackerman,Levi Ackerman,Attack on Titan | 進撃の巨人,2014,2024,10,M,White,unspecified,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Marco Bott,Marco Bott,Attack on Titan | 進撃の巨人,2014,2019,5,M,White,unspecified,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Mikasa Ackerman,Mikasa Ackerman,Attack on Titan | 進撃の巨人,2014,2024,10,F,E Asian (Multi),unspecified,Japan,Asia,Japanese
Attack on Titan | 進撃の巨人 - Ymir of the 104th,Ymir of the 104th,Attack on Titan | 進撃の巨人,2014,2024,10,F,White,gay,Japan,Asia,Japanese
Avatar: The last Airbender Universe - Asami Sato,Asami Sato,Avatar: The last Airbender Universe,2014,2024,10,F,E Asian,bi,USA,North America,English
Avatar: The last Airbender Universe - Azula,Azula,Avatar: The last Airbender Universe,2021,2024,4,F,E Asian,str8,USA,North America,English
Avatar: The last Airbender Universe - Katara,Katara,Avatar: The last Airbender Universe,2021,2021,1,F,As Ind,str8,USA,North America,English
Avatar: The last Airbender Universe - Korra,Korra,Avatar: The last Airbender Universe,2014,2024,10,F,As Ind,bi,USA,North America,English
Avatar: The last Airbender Universe - Kya II,Kya II,Avatar: The last Airbender Universe,2021,2024,4,F,As Ind / S Asian (Multi),gay,USA,North America,English
Avatar: The last Airbender Universe - Lin Beifong,Lin Beifong,Avatar: The last Airbender Universe,2021,2024,4,F,E Asian,str8,USA,North America,English
Avatar: The last Airbender Universe - Sokka,Sokka,Avatar: The last Airbender Universe,2020,2021,2,M,As Ind,str8,USA,North America,English
Avatar: The last Airbender Universe - Ty Lee,Ty Lee,Avatar: The last Airbender Universe,2021,2024,4,F,E Asian,str8,USA,North America,English
Avatar: The last Airbender Universe - Zuko,Zuko,Avatar: The last Airbender Universe,2020,2021,2,M,E Asian,str8,USA,North America,English
BLUELOCK | ブルーロック - Mikage Reo,Mikage Reo,BLUELOCK | ブルーロック,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
BLUELOCK | ブルーロック - Nagi Seishirou,Nagi Seishirou,BLUELOCK | ブルーロック,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Baldur's Gate - Astarion Ancunín,Astarion Ancunín,Baldur's Gate,2024,2024,1,M,White,bi,Belgium / Canada / USA,Europe / North America,English
Baldur's Gate - Enver Gortash,Enver Gortash,Baldur's Gate,2024,2024,1,M,White,unspecified,Belgium / Canada / USA,Europe / North America,English
Baldur's Gate - Gale Dekarios,Gale Dekarios,Baldur's Gate,2024,2024,1,M,White,bi,Belgium / Canada / USA,Europe / North America,English
Baldur's Gate - Tav | Player Character,Tav | Player Character,Baldur's Gate,2024,2024,1,Ambig,Ambig,bi,Belgium / Canada / USA,Europe / North America,English
Baldur's Gate - The Dark Urge | Player Character,The Dark Urge | Player Character,Baldur's Gate,2024,2024,1,Ambig,Ambig,bi,Belgium / Canada / USA,Europe / North America,English
Baldur's Gate - Y/N | Reader,Y/N | Reader,Baldur's Gate,2024,2024,1,Ambig,Ambig,unspecified,Belgium / Canada / USA,Europe / North America,English
Bangtan Boys / BTS - Jeon Jungkook | Jungkook,Jeon Jungkook | Jungkook,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Bangtan Boys / BTS - Jung Hoseok | J-Hope,Jung Hoseok | J-Hope,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM,Kim Namjoon | Rap Monster/RM,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Bangtan Boys / BTS - Kim Seokjin | Jin,Kim Seokjin | Jin,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Bangtan Boys / BTS - Kim Taehyung | V,Kim Taehyung | V,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Bangtan Boys / BTS - Min Yoongi | Suga,Min Yoongi | Suga,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Bangtan Boys / BTS - Park Jimin | Jimin,Park Jimin | Jimin,Bangtan Boys / BTS,2016,2024,8,M,E Asian,unspecified,South Korea,Asia,Korean
Be More Chill - Jeremy Heere,Jeremy Heere,Be More Chill,2017,2019,2,M,White,str8,USA,North America,English
Be More Chill - Michael Mell,Michael Mell,Be More Chill,2017,2019,2,M,Ambig,unspecified,USA,North America,English
Bridgerton - Anthony Bridgerton,Anthony Bridgerton,Bridgerton,2022,2022,1,M,White,str8,USA,North America,English
Bridgerton - Colin Bridgerton,Colin Bridgerton,Bridgerton,2024,2024,1,F,White,str8,USA,North America,English
"Bridgerton - Kate Bridgerton, née Sheffield/Sharma","Kate Bridgerton, née Sheffield/Sharma",Bridgerton,2022,2022,1,F,Ambig,str8,USA,North America,English
"Bridgerton - Penelope Bridgerton, née Featherington","Penelope Bridgerton, née Featherington",Bridgerton,2024,2024,1,M,White,str8,USA,North America,English
Buffy Universe - Buffy Summers,Buffy Summers,Buffy Universe,2013,2024,11,F,White,bi,USA,North America,English
Buffy Universe - Faith Lehane,Faith Lehane,Buffy Universe,2014,2024,10,F,White,str8,USA,North America,English
Buffy Universe - Spike,Spike,Buffy Universe,2013,2016,4,M,White,str8,USA,North America,English
Buffy Universe - Tara Maclay,Tara Maclay,Buffy Universe,2014,2024,10,F,White,gay,USA,North America,English
Buffy Universe - Willow Rosenberg,Willow Rosenberg,Buffy Universe,2014,2024,10,F,White,gay,USA,North America,English
Buffy Universe - Xander Harris,Xander Harris,Buffy Universe,2013,2014,2,M,White,str8,USA,North America,English
Bungou Stray Dogs | 文豪ストレイドッグス - Akutagawa Ryuunosuke,Akutagawa Ryuunosuke,Bungou Stray Dogs | 文豪ストレイドッグス,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Bungou Stray Dogs | 文豪ストレイドッグス - Dazai Osamu,Dazai Osamu,Bungou Stray Dogs | 文豪ストレイドッグス,2017,2024,7,M,E Asian,str8,Japan,Asia,Japanese
Bungou Stray Dogs | 文豪ストレイドッグス - Fyodor Dostoyevsky,Fyodor Dostoyevsky,Bungou Stray Dogs | 文豪ストレイドッグス,2024,2024,1,M,White,unspecified,Japan,Asia,Japanese
Bungou Stray Dogs | 文豪ストレイドッグス - Nakahara Chuuya,Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,2017,2024,7,M,E Asian,unspecified,Japan,Asia,Japanese
Bungou Stray Dogs | 文豪ストレイドッグス - Nakajima Atsushi,Nakajima Atsushi,Bungou Stray Dogs | 文豪ストレイドッグス,2023,2024,2,M,E Asian,unspecified,Japan,Asia,Japanese
Bungou Stray Dogs | 文豪ストレイドッグス - Nikolai Gogol,Nikolai Gogol,Bungou Stray Dogs | 文豪ストレイドッグス,2024,2024,1,M,White,unspecified,Japan,Asia,Japanese
Call of Duty - John 'Soap' MacTavish,John 'Soap' MacTavish,Call of Duty,2023,2024,2,M,White,unspecified,USA,North America,English
Call of Duty - Simon 'Ghost' Riley,Simon 'Ghost' Riley,Call of Duty,2023,2024,2,M,White,unspecified,USA,North America,English
Call of Duty - Y/N | Reader,Y/N | Reader,Call of Duty,2023,2024,2,Ambig,Ambig,unspecified,USA,North America,English
Carmilla - Carmilla Karnstein,Carmilla Karnstein,Carmilla,2015,2024,9,F,White,gay,Canada,North America,English
Carmilla - Danny Lawrence,Danny Lawrence,Carmilla,2015,2017,3,F,White,gay,Canada,North America,English
Carmilla - Laura Hollis,Laura Hollis,Carmilla,2015,2024,9,F,White,gay,Canada,North America,English
Carol - Carol Aird,Carol Aird,Carol,2017,2024,7,F,White,gay,UK / USA,Europe / North America,English
Carol - Therese Belivet,Therese Belivet,Carol,2017,2024,7,F,White,gay,UK / USA,Europe / North America,English
Carry On - Simon Snow,Simon Snow,Carry On,2020,2020,1,M,White,bi,USA,North America,English
Carry On - Tyrannus Basilton 'Baz' Grimm-Pitch,Tyrannus Basilton 'Baz' Grimm-Pitch,Carry On,2020,2020,1,M,MENA (Multi),gay,USA,North America,English
Check Please! - Eric Bittle,Eric Bittle,Check Please!,2016,2017,2,M,White,gay,USA,North America,English
Check Please! - Jack Zimmermann,Jack Zimmermann,Check Please!,2016,2017,2,M,White,gay,USA,North America,English
Criminal Minds - Emily Prentiss,Emily Prentiss,Criminal Minds,2014,2024,10,F,White,str8,USA,North America,English
Criminal Minds - Jennifer 'JJ' Jareau,Jennifer 'JJ' Jareau,Criminal Minds,2014,2024,10,F,White,str8,USA,North America,English
Critical Role - Beauregard Lionett,Beauregard Lionett,Critical Role,2019,2024,6,F,Ambig,gay,USA,North America,English
Critical Role - Imogen Temult,Imogen Temult,Critical Role,2024,2024,1,F,White,gay,USA,North America,English
Critical Role - Jester Lavorre,Jester Lavorre,Critical Role,2020,2021,2,F,N.H.,str8,USA,North America,English
Critical Role - Laudna,Laudna,Critical Role,2024,2024,1,F,N.H.,gay,USA,North America,English
Critical Role - Yasha Nydoorin,Yasha Nydoorin,Critical Role,2019,2024,6,F,White,gay,USA,North America,English
DC - Alexander Joseph 'Lex' Luthor,Alexander Joseph 'Lex' Luthor,DC,2013,2019,6,M,White,str8,USA,North America,English
DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel,Alexandra 'Alex' Danvers | Supergirl/Sentinel,DC,2016,2024,8,F,White,gay,USA,North America,English
DC - Astra In-Ze,Astra In-Ze,DC,2016,2024,8,F,White,str8,USA,North America,English
DC - Ava Sharpe | Roundhouse,Ava Sharpe | Roundhouse,DC,2019,2024,6,F,White,gay,USA,North America,English
DC - Barry Allen | The Flash,Barry Allen | The Flash,DC,2016,2017,2,M,White,str8,USA,North America,English
DC - Bruce Wayne | Batman,Bruce Wayne | Batman,DC,2013,2024,2,M,White,str8,USA,North America,English
DC - Cat Grant,Cat Grant,DC,2016,2024,8,F,White,str8,USA,North America,English
DC - Clark Kent | Superman,Clark Kent | Superman,DC,2013,2019,6,M,White,str8,USA,North America,English
DC - Connor 'Kon-El' Kent | Superboy,Connor 'Kon-El' Kent | Superboy,DC,2013,2013,1,M,White,str8,USA,North America,English
DC - Edward Nygma | The Riddler,Edward Nygma | The Riddler,DC,2017,2017,1,M,White,str8,USA,North America,English
DC - Felicity Smoak,Felicity Smoak,DC,2014,2023,9,F,White,str8,USA,North America,English
DC - Harleen Quinzel | Harley Quinn,Harleen Quinzel | Harley Quinn,DC,2015,2024,9,F,White,bi,USA,North America,English
DC - Jason Peter Todd | Robin/Red Hood,Jason Peter Todd | Robin/Red Hood,DC,2023,2024,2,M,White,str8,USA,North America,English
DC - Kara Danvers/Zor-El | Supergirl,Kara Danvers/Zor-El | Supergirl,DC,2016,2024,8,F,White,str8,USA,North America,English
DC - Kelly Olsen | Guardian,Kelly Olsen | Guardian,DC,2021,2024,4,F,Black,gay,USA,North America,English
DC - Lena Luthor | Ultrawoman,Lena Luthor | Ultrawoman,DC,2017,2024,7,F,White,str8,USA,North America,English
DC - Leonard Snart | Captain Cold,Leonard Snart | Captain Cold,DC,2016,2017,2,M,White (Multi),str8,USA,North America,English
DC - Maggie Sawyer,Maggie Sawyer,DC,2017,2024,7,F,Ambig,gay,USA,North America,English
DC - Nicholas 'Dick' Grayson | Robin/Nightwing,Nicholas 'Dick' Grayson | Robin/Nightwing,DC,2024,2024,1,M,Romani,str8,USA,North America,English
DC - Nyssa Raatko/al Ghul,Nyssa Raatko/al Ghul,DC,2015,2022,7,F,MENA,gay,USA,North America,English
DC - Oliver Queen | Green Arrow,Oliver Queen | Green Arrow,DC,2014,2023,9,M,White,str8,USA,North America,English
DC - Oswald Cobblepot | The Penguin,Oswald Cobblepot | The Penguin,DC,2017,2017,1,M,White,gay,USA,North America,English
DC - Pamela Isley | Poison Ivy,Pamela Isley | Poison Ivy,DC,2015,2024,9,F,Ambig,bi,USA,North America,English
DC - Samantha 'Sam' Arias | Reign,Samantha 'Sam' Arias | Reign,DC,2019,2021,3,F,Latin,unspecified,USA,North America,English
DC - Sara Lance | White Canary,Sara Lance | White Canary,DC,2015,2024,9,F,White,bi,USA,North America,English
DC - Tim Drake | Robin/Red Robin,Tim Drake | Robin/Red Robin,DC,2013,2024,3,M,White,bi,USA,North America,English
Danganronpa - Hinata Hajime,Hinata Hajime,Danganronpa,2021,2021,1,M,E Asian,str8,Japan,Asia,Japanese
Danganronpa - Komaeda Nagito,Komaeda Nagito,Danganronpa,2021,2021,1,M,E Asian,gay,Japan,Asia,Japanese
Danganronpa - Oma Kokichi,Oma Kokichi,Danganronpa,2021,2021,1,M,E Asian,bi,Japan,Asia,Japanese
Danganronpa - Saihara Shuichi,Saihara Shuichi,Danganronpa,2021,2021,1,M,E Asian,bi,Japan,Asia,Japanese
Descendants - Evie,Evie,Descendants,2019,2021,3,F,Latin,str8,USA,North America,English
Descendants - Mal,Mal,Descendants,2019,2021,3,F,White,str8,USA,North America,English
Detroit: Become Human - Connor (RK800),Connor (RK800),Detroit: Become Human,2019,2019,1,M,White,unspecified,France / USA,Europe / North America,English
Detroit: Become Human - Connor (RK900),Connor (RK900),Detroit: Become Human,2019,2020,2,M,White,unspecified,France / USA,Europe / North America,English
Detroit: Become Human - Gavin Reed,Gavin Reed,Detroit: Become Human,2019,2020,2,M,White,unspecified,France / USA,Europe / North America,English
Detroit: Become Human - Hank Anderson,Hank Anderson,Detroit: Become Human,2019,2019,1,M,White,unspecified,France / USA,Europe / North America,English
Doctor Who Universe - Amy Pond,Amy Pond,Doctor Who Universe,2013,2014,2,F,White,str8,UK,Europe,English
Doctor Who Universe - Clara Oswin Oswald,Clara Oswin Oswald,Doctor Who Universe,2016,2016,1,F,White,str8,UK,Europe,English
Doctor Who Universe - Ianto Jones,Ianto Jones,Doctor Who Universe,2013,2024,11,M,White,bi,UK,Europe,English
Doctor Who Universe - Jack Harkness,Jack Harkness,Doctor Who Universe,2013,2024,11,M,White,bi,UK,Europe,English
Doctor Who Universe - Jenny Flint,Jenny Flint,Doctor Who Universe,2014,2017,4,F,White,gay,UK,Europe,English
Doctor Who Universe - Madame Vastra,Madame Vastra,Doctor Who Universe,2014,2017,4,F,N.H.,gay,UK,Europe,English
Doctor Who Universe - River Song,River Song,Doctor Who Universe,2013,2016,4,F,White,bi,UK,Europe,English
Doctor Who Universe - Rory Williams,Rory Williams,Doctor Who Universe,2013,2014,2,M,White,str8,UK,Europe,English
Doctor Who Universe - Rose Tyler,Rose Tyler,Doctor Who Universe,2013,2023,10,F,White,str8,UK,Europe,English
Doctor Who Universe - The Doctor,The Doctor,Doctor Who Universe,2013,2013,1,Ambig,Ambig,woman_attracted,UK,Europe,English
Doctor Who Universe - The Eleventh Doctor,The Eleventh Doctor,Doctor Who Universe,2013,2016,4,M,White,str8,UK,Europe,English
Doctor Who Universe - The Tenth Doctor,The Tenth Doctor,Doctor Who Universe,2013,2023,10,M,White,str8,UK,Europe,English
Doctor Who Universe - The Thirteenth Doctor,The Thirteenth Doctor,Doctor Who Universe,2019,2024,6,F,White,gay,UK,Europe,English
Doctor Who Universe - The Twelfth Doctor,The Twelfth Doctor,Doctor Who Universe,2016,2016,1,M,White,str8,UK,Europe,English
Doctor Who Universe - Yasmin Khan,Yasmin Khan,Doctor Who Universe,2019,2024,6,F,S Asian,gay,UK,Europe,English
Drag - Brooke Lynn Hytes,Brooke Lynn Hytes,Drag,2021,2021,1,M | F | Other,White,gay,USA,North America,English
Drag - Katya Zamolodchikova,Katya Zamolodchikova,Drag,2019,2021,3,M | F | Other,White,gay,USA,North America,English
Drag - Trixie Mattel,Trixie Mattel,Drag,2019,2021,3,M | F | Other,Am Ind,gay,USA,North America,English
Drag - Vanessa Vanjie Mateo,Vanessa Vanjie Mateo,Drag,2021,2021,1,M | F | Other,Latin,gay,USA,North America,English
Dragon Age - Alistair,Alistair,Dragon Age,2016,2016,1,M,White,str8,Canada,North America,English
Dragon Age - Cullen Rutherford,Cullen Rutherford,Dragon Age,2015,2021,6,M,White,str8,Canada,North America,English
Dragon Age - Dorian Pavus,Dorian Pavus,Dragon Age,2016,2016,1,M,Asian (Multi),gay,Canada,North America,English
Dragon Age - Fenris,Fenris,Dragon Age,2016,2016,1,M,White,bi,Canada,North America,English
Dragon Age - Hawke (Female) | Player Character,Hawke (Female) | Player Character,Dragon Age,2014,2020,6,F,Ambig,bi,Canada,North America,English
Dragon Age - Hawke | Player Character,Hawke | Player Character,Dragon Age,2016,2016,1,Ambig,Ambig,bi,Canada,North America,English
Dragon Age - Inquisitor (Female) | Player Character,Inquisitor (Female) | Player Character,Dragon Age,2015,2020,5,F,Ambig,bi,Canada,North America,English
Dragon Age - Inquisitor | Player Character,Inquisitor | Player Character,Dragon Age,2015,2021,6,Ambig,Ambig,bi,Canada,North America,English
Dragon Age - Iron Bull,Iron Bull,Dragon Age,2016,2016,1,M,N.H.,bi,Canada,North America,English
Dragon Age - Isabela,Isabela,Dragon Age,2014,2020,6,F,Ambig,bi,Canada,North America,English
Dragon Age - Josephine Montilyet,Josephine Montilyet,Dragon Age,2015,2020,4,F,Ambig,bi,Canada,North America,English
Dragon Age - Leliana,Leliana,Dragon Age,2015,2021,6,F,White,bi,Canada,North America,English
Dragon Age - Sera,Sera,Dragon Age,2016,2019,3,F,White,gay,Canada,North America,English
Dragon Age - Solas,Solas,Dragon Age,2016,2019,3,M,White,str8,Canada,North America,English
Dragon Age - Warden (Female) | Player Character,Warden (Female) | Player Character,Dragon Age,2015,2021,6,F,Ambig,bi,Canada,North America,English
Dragon Age - Warden | Player Character,Warden | Player Character,Dragon Age,2016,2016,1,Ambig,Ambig,bi,Canada,North America,English
Due South - Benton Fraser,Benton Fraser,Due South,2013,2017,5,M,White,str8,Canada,North America,English
Due South - Ray Kowalski,Ray Kowalski,Due South,2013,2017,5,M,White,str8,Canada,North America,English
Due South - Ray Vecchio,Ray Vecchio,Due South,2017,2017,1,M,White,str8,Canada,North America,English
EXO - Byun Baekhyun | Baekhyun,Byun Baekhyun | Baekhyun,EXO,2017,2022,5,M,E Asian,unspecified,South Korea,Asia,Korean
EXO - Do Kyungsoo | D.O,Do Kyungsoo | D.O,EXO,2019,2019,1,M,E Asian,unspecified,South Korea,Asia,Korean
EXO - Kim Jongin | Kai,Kim Jongin | Kai,EXO,2019,2019,1,M,E Asian,unspecified,South Korea,Asia,Korean
EXO - Park Chanyeol | Chanyeol,Park Chanyeol | Chanyeol,EXO,2017,2022,5,M,E Asian,unspecified,South Korea,Asia,Korean
Emmerdale - Aaron Dingle,Aaron Dingle,Emmerdale,2016,2019,3,M,White,gay,UK,Europe,English
Emmerdale - Charity Dingle,Charity Dingle,Emmerdale,2019,2020,2,F,White,bi,UK,Europe,English
Emmerdale - Robert Sugden,Robert Sugden,Emmerdale,2016,2019,3,M,White,bi,UK,Europe,English
Emmerdale - Vanessa Woodfield,Vanessa Woodfield,Emmerdale,2019,2020,2,F,White,bi,UK,Europe,English
