Rank,Change,Relationship,Fandom,Total Works,Type,Race
`[76, None]`,`['-', 5]`,`['Mycroft Holmes', 'Greg Lestrade']`,Sherlock (TV),11919,`['M', 'M']`,`['White', 'White']`
`[77, None]`,`['-', 2]`,`['Jack Harkness', 'Ianto Jones']`,Torchwood,11916,`['M', 'M']`,`['White', 'White']`
`[78, None]`,`['+', 5]`,`['Frank Iero', 'Gerard Way']`,My Chemical Romance,11872,`['M', 'M']`,`['White', 'White']`
`[79, None]`,`['New', None]`,`['Han Jisung | Han', 'Lee Minho | Lee Know']`,Stray Kids (Band),11772,`['M', 'M']`,`['Asian', 'Asian']`
`[80, None]`,`['-', 4]`,`['Loki', 'Tony Stark']`,The Avengers (Marvel Movies),11642,`['M', 'M']`,`['White', 'White']`
`[81, None]`,`['-', 9]`,`['Enjolras', 'Grantaire (Les Misérables)']`,Les Misérables - All Media Types,11462,`['M', 'M']`,`['White', 'White']`
`[82, None]`,`['-', 8]`,`['James "Bucky" Barnes', 'Steve Rogers']`,Marvel Cinematic Universe,11294,Gen,`['White', 'White']`
`[83, None]`,`['-', 3]`,`['Castiel', 'Dean Winchester']`,Supernatural (TV 2005),11278,Gen,`['White', 'White']`
`[84, None]`,`['+', 7]`,`['Miya Atsumu', 'Sakusa Kiyoomi']`,Haikyuu!!,11253,`['M', 'M']`,`['Asian', 'Asian']`
`[85, None]`,`['-', 15]`,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),11249,`['M', 'M']`,`['White', 'White']`
`[86, None]`,`['New', None]`,`['Aizawa Shouta | Eraserhead', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,11220,Gen,`['Asian', 'Asian']`
`[87, None]`,`['-', 19]`,`['Clint Barton', 'Natasha Romanov']`,The Avengers (Marvel Movies),11165,`['F', 'M']`,`['White', 'White']`
`[88, None]`,`['+', 0]`,`['Annabeth Chase', 'Percy Jackson']`,Percy Jackson and the Olympians - Rick Riordan,11151,`['F', 'M']`,`['White', 'White']`
`[89, None]`,`['-', 12]`,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),11055,`['F', 'M']`,`['White', 'White']`
`[90, None]`,`['-', 8]`,`['Bilbo Baggins', 'Thorin Oakenshield']`,The Hobbit - All Media Types,10997,`['M', 'M']`,`['White', 'White']`
`[91, None]`,`['-', 10]`,`['Clint Barton', 'Phil Coulson']`,The Avengers (Marvel Movies),10899,`['M', 'M']`,`['White', 'White']`
`[92, None]`,`['-', 2]`,`['Harry Potter', 'Tom Riddle | Voldemort']`,Harry Potter - J. K. Rowling,10889,`['M', 'M']`,`['White', 'White']`
`[93, None]`,`['-', 14]`,`['Captain Hook | Killian Jones', 'Emma Swan']`,Once Upon a Time (TV),10883,`['F', 'M']`,`['White', 'White']`
`[94, None]`,`['+', 6]`,`['Bakugou Katsuki', 'Todoroki Shouto']`,Boku no Hero Academia | My Hero Academia,10774,`['M', 'M']`,`['Asian', 'Asian']`
`[95, None]`,`['New', None]`,`['Amity Blight', 'Luz Noceda']`,The Owl House (Cartoon),10722,`['F', 'F']`,`['White', 'Af Lat']`
`[96, None]`,`['-', 10]`,`['Adora', 'Catra (She-Ra)']`,She-Ra and the Princesses of Power (2018),10525,`['F', 'F']`,`['White', 'Latino']`
`[97, None]`,`['-', 13]`,`['Tenth Doctor', 'Rose Tyler']`,Doctor Who (2005),10493,`['F', 'M']`,`['White', 'White']`
`[98, None]`,`['New', None]`,`['Dabi | Todoroki Touya', 'Takami Keigo | Hawks']`,Boku no Hero Academia | My Hero Academia,10449,`['M', 'M']`,`['Asian', 'Asian']`
`[99, None]`,`['-', 12]`,`['Kozume Kenma', 'Kuroo Tetsurou']`,Haikyuu!!,10405,`['M', 'M']`,`['Asian', 'Asian']`
`[100, None]`,`['New', None]`,`['Ranboo', 'Toby Smith | Tubbo']`,Minecraft (Video Game),10303,Gen,`['White', 'White']`
