Rank,Change,Relationship,Fandom,Total Works,Race
`[68, None]`,`['-', 12]`,`['Myka Bering', 'Helena "H. G." Wells']`,Warehouse 13,1592,`['White', 'White']`
`[69, None]`,`['-', 15]`,`['Clary Fray', 'Isabelle Lightwood']`,Shadowhunters (TV),1560,`['White', 'ME Lat']`
`[70, None]`,`['+', 21]`,`['Dina', 'Ellie (The Last of Us)']`,The Last of Us (Video Games),1556,`['White', 'White']`
`[71, None]`,`['-', 13]`,`['Sansa Stark', 'Margaery Tyrell']`,Game of Thrones (TV),1546,`['White', 'White']`
`[72, None]`,`['-', 2]`,`['Kathryn Janeway', 'Seven of Nine']`,Star Trek: Voyager,1544,`['White', 'White']`
`[73, None]`,`['-', 10]`,`['Ruby', 'Sapphire (Steven Universe)']`,Steven Universe (Cartoon),1520,`['N.H.', 'N.H.']`
`[74, None]`,`['-', 17]`,`['Delphine Cormier', 'Cosima Niehaus']`,Orphan Black (TV),1509,`['White', 'White']`
`[75, None]`,`['New', None]`,`['Alicent Hightower', 'Rhaenyra Targaryen']`,House of the Dragon (TV),1506,`['White', 'White']`
`[76, None]`,`['-', 12]`,`['Alex Danvers', 'Kelly Olsen']`,Supergirl (TV 2015),1493,`['White', 'Black']`
`[77, None]`,`['+', 8]`,`['Shelby Goodkind', 'Toni Shalifoe']`,The Wilds (TV 2020),1464,`['White', 'Indig']`
`[78, None]`,`['-', 13]`,`['Dani Clayton', 'Jamie Taylor']`,The Haunting of Bly Manor (TV),1461,`['White', 'White']`
`[79, None]`,`['+', 18]`,`['Anne Boonchuy', 'Sasha Waybright']`,Amphibia (Cartoon),1453,`['Asian', 'White']`
`[80, None]`,`['-', 12]`,`['Tobin Heath', 'Christen Press']`,Women"s Association Football | Women"s Soccer RPF,1447,`['White', 'Black']`
`[81, None]`,`['+', 12]`,`['Ganyu', 'Keqing (Genshin Impact)']`,原神 | Genshin Impact (Video Game),1432,`['Asian', 'Asian']`
`[82, None]`,`['-', 6]`,`['Carol Aird', 'Therese Belivet']`,Carol (2015),1420,`['White', 'White']`
`[83, None]`,`['-', 5]`,`['Azula', 'Ty Lee (Avatar)']`,Avatar: The Last Airbender,1419,`['Asian', 'Asian']`
`[84, None]`,`['-', 11]`,`['Faith Lehane', 'Buffy Summers']`,Buffy the Vampire Slayer (TV),1418,`['White', 'White']`
`[85, None]`,`['-', 18]`,`['Kimberly Hart', 'Trini']`,Power Rangers (2017),1393,`['Asian', 'Latino']`
`[86, None]`,`['New', None]`,`['Sasha Waybright', 'Marcy Wu']`,Amphibia (Cartoon),1372,`['White', 'Asian']`
`[87, None]`,`['-', 13]`,`['Anya', 'Raven Reyes (The 100)']`,The 100 (TV),1325,`['Asian', 'Latino']`
`[88, None]`,`['-', 9]`,`['Astra', 'Alex Danvers']`,Supergirl (TV 2015),1321,`['White', 'White']`
`[89, None]`,`['-', 18]`,`['Erin Gilbert', 'Jillian Holtzmann']`,Ghostbusters (2016),1311,`['White', 'White']`
`[90, None]`,`['New', None]`,`['Raelle Collar', 'Scylla Ramshorn']`,Motherland: Fort Salem (TV),1309,`['White', 'White']`
`[91, '=']`,`['-', 9]`,`['Lin Beifong', 'Kya II']`,Avatar: Legend of Korra,1306,`['Asian', 'As Ind']`
`[91, '=']`,`['-', 10]`,`['Meredith Grey', 'Addison Montgomery']`,Grey"s Anatomy,1306,`['White', 'White']`
`[93, None]`,`['-', 16]`,`['Lena "Tracer" Oxton', 'Widowmaker | Amélie Lacroix']`,Overwatch (Video Game),1304,`['White', 'White']`
`[94, None]`,`['-', 8]`,`['Rachel Amber', 'Chloe Price']`,Life Is Strange (Video Game),1299,`['White', 'White']`
`[95, None]`,`['-', 26]`,`['Alex Danvers', 'Kara Danvers']`,Supergirl (TV 2015),1271,`['White', 'White']`
`[96, None]`,`['-', 13]`,`['Andy | Andromache of Scythia', 'Quynh | Noriko']`,The Old Guard (Movie 2020),1269,`['White', 'Asian']`
`[97, None]`,`['-', 17]`,`['Pepper Potts', 'Natasha Romanov']`,The Avengers (Marvel Movies),1264,`['White', 'White']`
`[98, None]`,`['-', 15]`,`['Penelope Park', 'Josie Saltzman']`,Legacies (TV 2018),1245,`['Asian', 'White']`
`[99, None]`,`['-', 10]`,`['Terezi Pyrope', 'Vriska Serket']`,Homestuck,1222,`['N.H.', 'N.H.']`
`[100, None]`,`['-', 9]`,`['Princess Bubblegum', 'Marceline']`,Adventure Time,1210,`['N.H.', 'N.H.']`
