Rank   Change   Relationship   Fandom   New Works   Total   Type   Race   
24   -10   James "Bucky" Barnes/Steve Rogers   Captain America (Movies)   4450   59640   M/M   White   White
25   N   Ranboo & Toby Smith | Tubbo & TommyInnit   Minecraft (Video Game)   4440   6039   Gen   White   White
26   45   Ranboo & TommyInnit (Video Blogging RPF)   Minecraft (Video Game)   4255   6654   Gen   White   White
27   -8   Jeon Jungkook/Kim Taehyung | V   Bangtan Boys | BTS   4164   32628   M/M   Asian   Asian
28   N   Caitlyn/Vi (League of Legends)   Arcane: League of Legends (Cartoon 2021)   4009   4009   F/F   Asian   White
29   -11   Miya Atsumu/Sakusa Kiyoomi   Haikyuu!!   3834   9783   M/M   Asian   Asian
30   0   Bakugou Katsuki & Midoriya Izuku   Boku no Hero Academia | My Hero Academia   3764   13091   Gen   Asian   Asian
31   21   Technoblade & Phil Watson (Video Blogging RPF)   Minecraft (Video Game)   3757   6688   Gen   White   White
32   -10   Peter Parker & Tony Stark   Marvel Cinematic Universe   3634   25763   Gen   White   White
33   3   Amity Blight/Luz Noceda   The Owl House (Cartoon)   3544   7326   F/F   White   Af Lat
34   12   Aizawa Shouta | Eraserhead & Midoriya Izuku   Boku no Hero Academia | My Hero Academia   3533   8873   Gen   Asian   Asian
35   42   TommyInnit & Phil Watson (Video Blogging RPF)   Minecraft (Video Game)   3473   5791   Gen   White   White
36   -2   Merlin/Arthur Pendragon (Merlin)   Merlin (TV)   3183   25746   M/M   White   White
37   21   Wilbur Soot & Technoblade   Minecraft (Video Game)   3174   5874   Gen   White   White
38   38   Clay | Dream & TommyInnit (Video Blogging RPF)   Minecraft (Video Game)   3107   5462   Gen   White   White
39   N   Will Byers/Mike Wheeler   Stranger Things (TV 2016)   3003   4925   M/M   White   White
40   10   James "Bucky" Barnes/Reader   Marvel Cinematic Universe   2960   13702   Other   White   Ambig
41   -10   Steve Rogers/Tony Stark   The Avengers (Marvel Movies)   2938   43436   M/M   White   White
42   0   Derek Hale/Stiles Stilinski   Teen Wolf (TV)   2897   65529   M/M   White   White
43   -15   Jeon Jungkook/Park Jimin   Bangtan Boys | BTS   2880   25269   M/M   Asian   Asian
44   3   Kara Danvers/Lena Luthor   Supergirl (TV 2015)   2835   19062   F/F   White   White
45   -22   Midoriya Izuku/Todoroki Shouto   Boku no Hero Academia | My Hero Academia   2812   21582   M/M   Asian   Asian
46   13   Getou Suguru/Gojo Satoru   呪術廻戦 | Jujutsu Kaisen (Manga)   2811   5479   M/M   Asian   Asian
47   -7   James "Bucky" Barnes/Sam Wilson   Marvel Cinematic Universe   2735   9187   M/M   White   Black
48   N   Olivia Benson/Elliot Stabler   Law & Order: SVU   2664   3614   F/M   White   White
49   -17   Will Graham/Hannibal Lecter   Hannibal (TV)   2592   23997   M/M   White   White
50   32   Han Jisung | Han/Lee Minho | Lee Know   Stray Kids (Band)   2581   7892   M/M   Asian   Asian
51   -4   Dabi | Todoroki Touya/Takami Keigo | Hawks   Boku no Hero Academia | My Hero Academia   2570   8641   M/M   Asian   Asian
52   -8   Clay | Dream & GeorgeNotFound & Sapnap (Video Blogging RPF)   Minecraft (Video Game)   2503   5758   Gen   White   White
53   33   Levi Ackerman/Erwin Smith   Shingeki no Kyojin | Attack on Titan   2498   10552   M/M   White   White
54   19   Diluc/Kaeya (Genshin Impact)   原神 | Genshin Impact (Video Game)   2494   4908   M/M   White   Ambig
55   -10   Hermione Granger/Ron Weasley   Harry Potter - J. K. Rowling   2471   17325   F/M   Ambig   White
56   -41   Akaashi Keiji/Bokuto Koutarou   Haikyuu!!   2462   15199   M/M   Asian   Asian
57   N   Huā Chéng/Xiè Lián (Tiān Guān Cì Fú)   天官赐福 - 墨香铜臭 | Tiān Guān Cì Fú - Mòxiāng Tóngxiù   2457   5693   M/M   Asian   Asian
58   N   The Darkling | Aleksander Morozova/Alina Starkov   Shadow and Bone (TV)   2445   3964   F/M   White   Asian
59   N   Robin Buckley/Nancy Wheeler   Stranger Things (TV 2016)   2428   2428   F/F   White   White
60   N   Wilbur Soot & Phil Watson   Minecraft (Video Game)   2420   4275   Gen   White   White
61   N   Regulus Black/James Potter   Harry Potter - J. K. Rowling   2339   3131   M/M   White   White
62   N   Mikey | Sano Manjirou/Takemitchy | Hanagaki Takemichi   東京卍リベンジャーズ | Tokyo Revengers (Manga)   2299   2299   M/M   Asian   Asian
63   37   Wen Kexing/Zhou Zishu   山河令 | Word of Honor (TV 2021)   2280   4164   M/M   Asian   Asian
64   -47   Iwaizumi Hajime/Oikawa Tooru   Haikyuu!!   2267   18685   M/M   Asian   Asian
65   -2   Min Yoongi | Suga/Park Jimin   Bangtan Boys | BTS   2260   24665   M/M   Asian   Asian
66   -9   Harry Potter/Ginny Weasley   Harry Potter - J. K. Rowling   2230   14206   F/M   White   White
67   N   Diluc & Kaeya (Genshin Impact)   原神 | Genshin Impact (Video Game)   2186   3400   Gen   White   Ambig
68   17   Carlos Reyes/TK Strand   9-1-1: Lone Star (TV 2020)   2175   5325   M/M   Latino   White
69   -3   Obi-Wan Kenobi & Anakin Skywalker | Darth Vader   Star Wars - All Media Types   2157   7344   Gen   White   White
70   N   Lo Hon-ting | Anson Lo/Lui Cheuk-on | Edan Lui   MIRROR (Hong Kong Band)   2106   2106   M/M   Asian   Asian
71   N   Tartaglia | Childe/Traveler (Genshin Impact)   原神 | Genshin Impact (Video Game)   2085   3887   Other   White   White
72   -47   Rey/Ben Solo | Kylo Ren   Star Wars Sequel Trilogy   2075   27926   F/M   White   White
73   -19   Sherlock Holmes/John Watson   Sherlock (TV)   2060   66436   M/M   White   White
74   -48   Hinata Shouyou/Kageyama Tobio   Haikyuu!!   2054   17106   M/M   Asian   Asian
75   N   Beidou/Ningguang (Genshin Impact)   原神 | Genshin Impact (Video Game)   2046   2046   F/F   Asian   Asian
76   N   Jayce/Viktor (League of Legends)   Arcane: League of Legends (Cartoon 2021)   2043   2043   M/M   Ambig   White
77   -21   Kaminari Denki/Shinsou Hitoshi   Boku no Hero Academia | My Hero Academia   2039   7546   M/M   Asian   Asian
78   N   Venti/Xiao | Alatus (Genshin Impact)   原神 | Genshin Impact (Video Game)   2033   3471   M/M   White   Asian
79   -9   Nanjo Kojiro | Joe/Sakurayashiki Kaoru | Cherry Blossom   SK8 the Infinity (Anime)   2029   4475   M/M   Asian   Asian
80   -25   Karl Jacobs/Sapnap   Video Blogging RPF   2010   4849   M/M   White   White
81   6   Alexis | Quackity/Karl Jacobs/Sapnap   Minecraft (Video Game)   1993   4098   Poly   Latino   White
82   N   Kristin Rosales Watson/Phil Watson   Minecraft (Video Game)   1987   2600   F/M   Latino   White
83   N   Robin Buckley & Steve Harrington   Stranger Things (TV 2016)   1985   2567   Gen   White   White
84   N   Michelle Jones/Peter Parker   Spider-Man (Tom Holland Movies)   1952   6804   F/M   Black   White
85   -7   Harry Styles/Louis Tomlinson   One Direction (Band)   1951   37316   M/M   White   White
86   N   Uchiha Sasuke/Uzumaki Naruto   Naruto   1935   11501   M/M   Asian   Asian
87   N   Albedo/Kaeya (Genshin Impact)   原神 | Genshin Impact (Video Game)   1924   2953   M/M   White   Ambig
88   N   Anthony Bridgerton/Kate Sheffield | Kate Sharma   Bridgerton (TV)   1920   1920   F/M   White   Ambig
89   -46   Magnus Bane/Alec Lightwood   Shadowhunters (TV)   1875   29934   M/M   Asian   White
90   -15   Dean Winchester & Sam Winchester   Supernatural (TV 2005)   1862   13020   Gen   White   White
91   N   Eda Clawthorne/Raine Whispers   The Owl House (Cartoon)   1838   1838   Other   N.H.   Ambig
92   N   Kamisato Ayato/Thoma   原神 | Genshin Impact (Video Game)   1809   1809   M/M   Asian   Asian
93   -28   Bakugou Katsuki/Todoroki Shouto   Boku no Hero Academia | My Hero Academia   1798   9289   M/M   Asian   Asian
94   0   Neil Josten/Andrew Minyard   All For The Game - Nora Sakavic   1794   8470   M/M   White   White
95   N   Eddie Munson/Reader   Stranger Things (TV 2016)   1772   1772   Other   White   Ambig
96   N   Albedo/Traveler (Genshin Impact)   原神 | Genshin Impact (Video Game)   1750   1750   Other   White   White
97   N   Loki/Mobius M. Mobius   Loki (TV 2021)   1747   3069   M/M   White   White
98   N   Yuzuru Hanyu/Boyang Jin   Figure Skating RPF   1743   2240   M/M   Asian   Asian
99=   -60   Adora/Catra (She-Ra)   She-Ra and the Princesses of Power (2018)   1738   10063   F/F   White   Ambig
99=   N   Loki (Marvel)/Reader   Marvel Cinematic Universe   1738   7601   Other   White   Ambig
