Rank,Change,Relationship,Fandom,Total Works,New Works
50,32,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,7892,2581
51,-4,Takami Keigo | Hawks x Todoroki Touya | Dabi,My Hero Academia | 僕のヒーローアカデミア,8641,2570
52,-8,Clay | Dream & George Davidson | GeorgeNotFound & Nicholas Armstrong | Sapnap,Youtube,5758,2503
53,33,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,10552,2498
54,19,Diluc x Kaeya,Genshin Impact | 原神,4908,2494
55,-10,Hermione Granger x Ron Weasley,Harry Potter Universe,17325,2471
56,-41,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,15199,2462
57,New,Hua Cheng x Xie Lian,Heaven Official's Blessing | 天官赐福,5693,2457
58,New,Aleksander Morozova | The Darkling x Alina Starkov,Shadow and Bone Universe,3964,2445
59,New,Nancy Wheeler x Robin Buckley,Stranger Things,2428,2428
60,New,Phil Watson | Philza & William Patrick Spencer Gold | Wilbur Soot,Youtube,4275,2420
61,New,James Potter x Regulus Black,Harry Potter Universe,3131,2339
62,New,Hanagaki 'Takemitchy' Takemichi x Sano 'Mikey' Manjirou,Tokyo Revengers | 東京卍リベンジャーズ,2299,2299
63,37,Wen Kexing x Zhou Zishu,Faraway Wanderers / Word of Honor | 天涯客 / 山河令,4164,2280
64,-47,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,18685,2267
65,-2,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,24665,2260
66,-9,Ginny Weasley x Harry Potter,Harry Potter Universe,14206,2230
67,New,Diluc & Kaeya,Genshin Impact | 原神,3400,2186
68,17,Carlos Reyes x TK Strand,9-1-1,5325,2175
69,-3,Anakin Skywalker | Darth Vader & Obi-Wan Kenobi,Star Wars Universe,7344,2157
70,New,Lo Hon-ting | Anson Lo x Lui Cheuk-on | Edan Lui,MIRROR,2106,2106
71,New,Tartaglia | Childe x Traveler | Player Character,Genshin Impact | 原神,3887,2085
72,-47,Ben Solo | Kylo Ren x Rey,Star Wars Universe,27926,2075
73,-19,John Watson x Sherlock Holmes,Sherlock,66436,2060
74,-48,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,17106,2054
75,New,Beidou x Ningguang,Genshin Impact | 原神,2046,2046
76,New,Jayce x Viktor,Arcane,2043,2043
77,-21,Kaminari Denki | Chargebolt x Shinsou Hitoshi,My Hero Academia | 僕のヒーローアカデミア,7546,2039
78,New,Alatus | Xiao x Venti,Genshin Impact | 原神,3471,2033
79,-9,Nanjo Kojiro | Joe x Sakurayashiki Kaoru | Cherry Blossom,SK8 the Infinity | SK∞ エスケーエイト,4475,2029
80,-25,Karl Jacobs x Nicholas Armstrong | Sapnap,Youtube,4849,2010
81,6,Alexis 'Alex' Maldonado | Quackity x Karl Jacobs x Nicholas Armstrong | Sapnap,Youtube,4098,1993
82,New,"Kristin Watson, née Rosales x Phil Watson | Philza",Youtube,2600,1987
83,New,Robin Buckley & Steve Harrington,Stranger Things,2567,1985
84,New,Michelle 'MJ' Jones x Peter Parker | Spiderman,Marvel,6804,1952
85,-7,Harry Styles x Louis Tomlinson,One Direction,37316,1951
86,New,Uchiha Sasuke x Uzumaki Naruto,Naruto,11501,1935
87,New,Albedo x Kaeya,Genshin Impact | 原神,2953,1924
88,New,"Anthony Bridgerton x Kate Bridgerton, née Sheffield/Sharma",Bridgerton,1920,1920
89,-46,Alec Lightwood x Magnus Bane,Mortal Instruments,29934,1875
90,-15,Dean Winchester & Sam Winchester,Supernatural,13020,1862
91,New,Eda Clawthorne x Raine Whispers,The Owl House,1838,1838
92,New,Kamisato Ayato x Thoma,Genshin Impact | 原神,1809,1809
93,-28,Bakugou Katsuki x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,9289,1798
94,0,Andrew Minyard x Neil Josten,All For The Game,8470,1794
95,New,Eddie Munson x Y/N | Reader,Stranger Things,1772,1772
96,New,Albedo x Traveler | Player Character,Genshin Impact | 原神,1750,1750
97,New,Loki Laufeyson/Odinson x Mobius M. 'Moby' Mobius,Marvel,3069,1747
98,New,Hanyu Yuzuru x Jin Boyang,Figure Skating,2240,1743
99,-60,Adora x Catra,She-Ra and the Princesses of Power,10063,1738
99,New,Loki Laufeyson/Odinson x Y/N | Reader,Marvel,7601,1738
